,posicion,juego,dinero,jugadores,torneos,fecha
0,1.0,StarCraft II,89399.27,105,53,2012-01-01
1,2.0,League of Legends,53334.98,117,22,2012-01-01
2,3.0,Defense of the Ancients,52313.09,25,2,2012-01-01
3,4.0,Counter-Strike,51938.7,75,4,2012-01-01
4,5.0,Heroes of Newerth,34345.67,16,3,2012-01-01
5,6.0,WarCraft III,14781.98,8,5,2012-01-01
6,7.0,Super Smash Bros. Brawl,10286.0,21,5,2012-01-01
7,8.0,Super Smash Bros. Melee,9466.0,27,4,2012-01-01
8,9.0,Call of Duty: Modern Warfare 3,6216.2,28,3,2012-01-01
9,10.0,Counter-Strike: Source,5306.69,30,2,2012-01-01
10,11.0,Call of Duty 4: Modern Warfare,4467.43,13,2,2012-01-01
11,12.0,TrackMania Nations Forever,3022.34,4,2,2012-01-01
12,13.0,Halo: Reach,1267.9,8,3,2012-01-01
13,14.0,Call of Duty 2,1014.32,10,1,2012-01-01
14,15.0,FIFA 12,705.99,6,6,2012-01-01
15,16.0,NHL 12,570.56,4,1,2012-01-01
16,17.0,Tekken 6,570.56,2,1,2012-01-01
17,18.0,Quake Live,515.53,1,4,2012-01-01
18,19.0,Super Smash Bros.,400.0,7,2,2012-01-01
19,20.0,TrackMania 2: Canyon,386.85,2,3,2012-01-01
20,21.0,StarCraft: Brood War,280.0,8,4,2012-01-01
21,22.0,Tekken Tag Tournament 2,250.0,4,2,2012-01-01
22,23.0,Super Street Fighter IV Arcade Edition,190.19,2,1,2012-01-01
23,1.0,StarCraft II,105998.99,115,69,2012-02-01
24,2.0,League of Legends,42541.43,114,22,2012-02-01
25,3.0,Call of Duty: Modern Warfare 3,25720.0,1,4,2012-02-01
26,4.0,Counter-Strike: Source,24992.47,65,6,2012-02-01
27,5.0,Counter-Strike,16477.27,89,6,2012-02-01
28,6.0,Super Street Fighter IV Arcade Edition,10087.87,11,2,2012-02-01
29,7.0,Tekken 6,3971.22,3,1,2012-02-01
30,8.0,Dota 2,2621.34,20,1,2012-02-01
31,9.0,Call of Duty 4: Modern Warfare,2374.72,15,2,2012-02-01
32,10.0,Halo: Reach,1840.41,12,1,2012-02-01
33,11.0,Quake Live,1809.19,4,5,2012-02-01
34,12.0,FIFA 12,860.41,6,5,2012-02-01
35,13.0,Super Smash Bros. Melee,600.0,6,1,2012-02-01
36,14.0,TrackMania 2: Canyon,529.48,1,4,2012-02-01
37,15.0,WarCraft III,529.4,3,4,2012-02-01
38,16.0,Age of Mythology,300.0,3,1,2012-02-01
39,17.0,TrackMania Nations Forever,237.05,4,1,2012-02-01
40,18.0,Forza Motorsport 4,132.37,2,1,2012-02-01
41,19.0,NHL 12,132.37,2,1,2012-02-01
42,1.0,StarCraft II,393265.76,175,70,2012-03-01
43,2.0,Counter-Strike,140882.95,122,7,2012-03-01
44,3.0,League of Legends,127157.99,127,25,2012-03-01
45,4.0,Halo: Reach,56000.0,32,1,2012-03-01
46,5.0,Dota 2,42028.2,77,13,2012-03-01
47,6.0,Mortal Kombat 9,33400.0,8,1,2012-03-01
48,7.0,Counter-Strike: Source,28430.64,68,4,2012-03-01
49,8.0,Soul Calibur V,17200.0,12,2,2012-03-01
50,9.0,BlazBlue: Continuum Shift II,16999.58,0,1,2012-03-01
51,10.0,King of Fighters XIII,16700.0,16,2,2012-03-01
52,11.0,Team Fortress 2,10080.0,12,1,2012-03-01
53,12.0,Call of Duty: Modern Warfare 3,8444.16,43,2,2012-03-01
54,13.0,Heroes of Newerth,3000.0,20,3,2012-03-01
55,14.0,Quake Live,2527.63,4,6,2012-03-01
56,15.0,StarCraft: Brood War,2309.37,3,1,2012-03-01
57,16.0,Super Smash Bros. Melee,1704.0,8,2,2012-03-01
58,17.0,WarCraft III,1636.16,18,6,2012-03-01
59,18.0,Defense of the Ancients,1015.23,32,2,2012-03-01
60,19.0,Super Street Fighter IV Arcade Edition,1000.0,8,1,2012-03-01
61,20.0,Ultimate Marvel vs. Capcom 3,1000.0,8,1,2012-03-01
62,21.0,Street Fighter X Tekken,835.0,16,4,2012-03-01
