"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4901082420","65835480","502181","2177","105795","109939","1476","74.44",""
"2","","Dota 2","3149527920","17376300","623824","796","29645","70648","389","181.25",""
"3","","Hearthstone","2142785640","10352820","108194","414","24739","48066","232","206.98",""
"4","","Counter-Strike: Global Offensive","1575160620","38561460","152628","1595","91934","35333","864","40.85",""
"5","","World of Warcraft","1211263560","28726260","227428","4567","47423","27170","644","42.17",""
"6","","Overwatch","1118592480","40691520","92808","1740","109939","25091","912","27.49",""
"7","","No Man's Sky","654072840","24639720","218360","4689","69859","14671","552","26.55",""
"8","","Call of Duty: Black Ops III","523306740","53774160","129778","2100","159672","11738","1206","9.73",""
"9","","Dead by Daylight","487441560","8850060","54616","473","14161","10934","198","55.08",""
"10","","Talk Shows & Podcasts","464162400","3627600","71960","166","14009","10411","81","127.95",""
"11","","Destiny","395440560","35541420","141860","1717","65024","8870","797","11.13",""
"12","","Minecraft","352313160","24135600","36111","1003","75700","7902","541","14.6",""
"13","","RuneScape","287272080","4205340","21214","153","6768","6443","94","68.31",""
"14","","World of Tanks","276519900","6448500","31836","296","11507","6202","144","42.88",""
"15","","StarCraft II","269531100","2896620","43775","125","5036","6046","64","93.05",""
"16","","Z1: Battle Royale","266302500","7217400","37775","304","12309","5973","161","36.9",""
"17","","Arma 3","232502760","5592900","37065","264","8719","5215","125","41.57",""
"18","","Creative","222271740","9867420","29914","361","20458","4985","221","22.53",""
"19","","Tom Clancy's Rainbow Six Siege","210329820","19184220","18727","917","58182","4718","430","10.96",""
"20","","Grand Theft Auto V","172713060","21654120","31130","888","80764","3874","485","7.98",""
"21","","Poker","160283100","1869600","19870","101","2061","3595","41","85.73",""
"22","","Heroes of the Storm","157372980","4020360","21186","171","7376","3530","90","39.14",""
"23","","Pokémon GO","156889200","1804380","22249","160","6420","3519","40","86.95",""
"24","","NBA 2K16","152239440","15864180","21631","781","46973","3414","355","9.6",""
"25","","Rocket League","150150480","6898440","82917","307","33642","3368","154","21.77",""
"26","","Deus Ex: Mankind Divided","149894460","1722660","86681","723","6159","3362","38","87.01",""
"27","","SMITE","143372640","7615140","22448","299","18667","3216","170","18.83",""
"28","","Magic: The Gathering","121606980","770340","22692","43","885","2727","17","157.86",""
"29","","FIFA 16","117193920","7253880","47210","369","27733","2628","162","16.16",""
"30","","Diablo III","112315080","6074280","28044","805","11915","2519","136","18.49",""
"31","","Street Fighter V","110492100","1773540","22511","83","4995","2478","39","62.3",""
"32","","Pokémon Omega Ruby/Alpha Sapphire","108234120","1821540","44480","85","2447","2427","40","59.42",""
"33","","Rust","98324340","3604500","36289","217","7210","2205","80","27.28",""
"34","","The Elder Scrolls V: Skyrim","95793480","2508420","37334","119","5713","2148","56","38.19",""
"35","","Madden NFL 17","79895880","5807640","19768","1258","20378","1792","130","13.76",""
"36","","Super Smash Bros. Melee","78765720","628320","55466","41","1932","1766","14","125.36",""
"37","","Super Smash Bros. for Wii U","74746560","1026060","39087","66","2042","1676","23","72.85",""
"38","","Music","74402520","1516320","11371","66","4419","1668","34","49.07",""
"39","","Battlefield 1","74265120","1966680","76479","1316","29149","1665","44","37.76",""
"40","","Super Mario Maker","71853720","996960","10082","84","1224","1611","22","72.07",""
"41","","7 Days to Die","64537920","6229980","22516","283","14871","1447","139","10.36",""
"42","","DayZ","59301120","2748660","5852","139","4743","1330","61","21.57",""
"43","","Fallout 4","58576980","7445220","16931","574","22410","1313","167","7.87",""
"44","","Warcraft III","56448780","958140","31171","48","1160","1266","21","58.91",""
"45","","Path of Exile","56108880","1730880","9539","75","2732","1258","38","32.42",""
"46","","Halo 5: Guardians","51101460","3914760","21827","195","11061","1146","87","13.05",""
"47","","Clash Royale","49976160","967860","6122","51","2756","1121","21","51.64",""
"48","","Dark Souls III","48315000","5079120","7977","209","15281","1083","113","9.51",""
"49","","The Binding of Isaac: Repentance","47989260","952560","14632","53","2408","1076","21","50.38",""
"50","","This Is the Police","47811720","443760","35157","43","1562","1072","9","107.74",""
"51","","Dungeons & Dragons","47214720","578700","23975","61","1021","1059","12","81.59",""
"52","","RimWorld","46997820","1271880","8348","57","2286","1054","28","36.95",""
"53","","Ark: Survival Evolved","46773780","3534600","5329","149","5228","1049","79","13.23",""
"54","","60 Seconds!","46367160","123900","56904","30","628","1040","2","374.23",""
"55","","Paragon","40867740","5364000","8762","365","11349","916","120","7.62",""
"56","","Miscreated","38530740","763260","8930","42","1439","864","17","50.48",""
"57","","Tom Clancy's The Division","36886860","6555900","5047","468","16204","827","147","5.63",""
"58","","Star Citizen","35891820","640620","45650","56","1676","805","14","56.03",""
"59","","Battlefield 4","35494980","7198800","6813","334","28457","796","161","4.93",""
"60","","Social Eating","34819080","409740","20067","27","3557","781","9","84.98",""
"61","","World of Warships","33435540","1678440","3174","85","3087","750","37","19.92",""
"62","","osu!","32999700","4130280","4066","162","13875","740","92","7.99",""
