"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4672302780","60254280","296196","2089","105041","104807","1351","77.54",""
"2","","Counter-Strike: Global Offensive","3177197820","35768460","726674","1441","94538","71269","802","88.83",""
"3","","Dota 2","1950589740","16664340","200212","807","29653","43754","373","117.05",""
"4","","Hearthstone","1899363060","9875280","148537","372","24532","42605","221","192.34",""
"5","","Overwatch","1495718760","48838320","82786","2220","126978","33551","1095","30.63",""
"6","","Call of Duty: Black Ops III","706669020","59827800","77658","4122","188845","15851","1342","11.81",""
"7","","Dead by Daylight","610854840","8196960","64718","323","14656","13702","183","74.52",""
"8","","World of Warcraft","597433800","18294480","73797","870","32835","13401","410","32.66",""
"9","","Minecraft","454653000","26659080","47731","1056","90671","10198","598","17.05",""
"10","","Pokémon GO","449704800","3062220","81781","199","8607","10087","68","146.86",""
"11","","Talk Shows & Podcasts","394234860","3181680","83725","142","12923","8843","71","123.91",""
"12","","Destiny","345314940","32691720","82354","1443","62686","7745","733","10.56",""
"13","","RuneScape","338496360","4410420","24483","169","7837","7593","98","76.75",""
"14","","NBA 2K16","317155560","18334260","31078","792","59255","7114","411","17.3",""
"15","","Street Fighter V","297589500","2355000","212889","212","7200","6675","52","126.36",""
"16","","StarCraft II","268214880","2812980","42691","121","4710","6016","63","95.35",""
"17","","World of Tanks","265607880","6442260","25049","295","12233","5958","144","41.23",""
"18","","Arma 3","265369740","5606520","55686","285","9611","5952","125","47.33",""
"19","","Grand Theft Auto V","262285200","26665980","47054","1557","105674","5883","598","9.84",""
"20","","Creative","212168760","9017220","58597","332","19644","4759","202","23.53",""
"21","","Rust","188393280","3570840","57838","255","7159","4225","80","52.76",""
"22","","Heroes of the Storm","164680860","4028280","21192","162","7570","3694","90","40.88",""
"23","","Tom Clancy's The Division","164412120","9496560","33143","456","23449","3688","213","17.31",""
"24","","Z1: Battle Royale","163784880","5536140","26963","213","10365","3673","124","29.58",""
"25","","FIFA 16","151436520","8153520","27284","406","34429","3396","182","18.57",""
"26","","Evolve","136883160","3485820","44136","278","12939","3070","78","39.27",""
"27","","7 Days to Die","123786960","11415960","36862","588","27860","2776","256","10.84",""
"28","","Poker","115688220","1836480","11764","114","2068","2595","41","62.99",""
"29","","SMITE","113215080","7462200","22947","294","20195","2539","167","15.17",""
"30","","Tom Clancy's Rainbow Six Siege","109413420","13078560","58894","754","45089","2454","293","8.37",""
"31","","DayZ","108504960","3801180","11892","195","6811","2433","85","28.55",""
"32","","Rocket League","107452740","6616740","14156","262","34945","2410","148","16.24",""
"33","","Super Smash Bros. Melee","105970680","599580","223070","39","1845","2377","13","176.74",""
"34","","Magic: The Gathering","103385220","781140","16081","41","952","2319","17","132.35",""
"35","","Battlefield 1","96895920","447360","57001","82","991","2173","10","216.59",""
"36","","Clash Royale","89701080","1329600","19956","76","3660","2012","29","67.46",""
"37","","The Elder Scrolls V: Skyrim","85614000","2025720","168538","90","4838","1920","45","42.26",""
"38","","Dark Souls III","84073680","6210600","12132","248","19009","1885","139","13.54",""
"39","","Super Smash Bros. for Wii U","79675920","947520","73534","60","1965","1787","21","84.09",""
"40","","Super Mario Maker","78848280","921900","153048","50","1193","1768","20","85.53",""
"41","","Path of Exile","78075480","2565360","6740","107","3503","1751","57","30.43",""
"42","","Music","72421260","1638480","8486","71","4642","1624","36","44.2",""
"43","","Pokémon Omega Ruby/Alpha Sapphire","71980380","1434600","20335","67","1810","1614","32","50.17",""
"44","","Ark: Survival Evolved","64225680","3909000","7828","168","5823","1440","87","16.43",""
"45","","Halo 5: Guardians","63968160","4640040","23661","282","16016","1434","104","13.79",""
"46","","INSIDE","60386820","786660","37950","126","4040","1354","17","76.76",""
"47","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","54021960","1204440","14544","69","1166","1211","27","44.85",""
"48","","Fallout 4","52506120","7287600","144758","365","23839","1177","163","7.2",""
"49","","Social Eating","49952820","546780","55709","41","4648","1120","12","91.36",""
"50","","The Legend of Zelda: Ocarina of Time","49012140","561660","131876","45","967","1099","12","87.26",""
"51","","RimWorld","47347620","936060","29626","77","1894","1062","20","50.58",""
"52","","Furi","45275520","1404000","39313","159","8757","1015","31","32.25",""
"53","","Warcraft III","45256800","1053900","6048","52","1194","1015","23","42.94",""
"54","","We Happy Few","41443800","456300","57120","168","2476","929","10","90.83",""
"55","","L.A. Noire","39991980","116760","36479","15","358","897","2","342.51",""
"56","","Diablo II: Lord of Destruction","38189640","451740","124330","50","733","856","10","84.54",""
"57","","Dungeons & Dragons","37998900","572460","23401","54","946","852","12","66.38",""
"58","","Starbound","37306200","1254480","13245","165","3848","836","28","29.74",""
"59","","The Binding of Isaac: Repentance","36826920","796380","12876","43","2275","826","17","46.24",""
"60","","Guilty Gear Xrd: Revelator","36109380","429600","131894","38","1247","809","9","84.05",""
"61","","Battlefield 4","35974080","7166940","9274","311","30743","806","160","5.02",""
"62","","Monster Hunter Generations","35676060","804900","4757","92","567","800","18","44.32",""
"63","","Mortal Kombat X","35403120","1252800","105232","63","6444","794","28","28.26",""
"64","","osu!","33080220","3869880","6913","154","13834","742","86","8.55",""
"65","","NBA 2K15","32379900","858060","6203","41","3439","726","19","37.74",""
"66","","The Elder Scrolls III: Morrowind","32347320","109140","146352","11","294","725","2","296.38",""
"67","","Black Desert","31471380","1816980","2946","83","2588","705","40","17.32",""
"68","","Pokémon Red/Blue","30869280","372540","150951","31","1117","692","8","82.86",""
"69","","Paragon","30413700","4350120","3139","203","11548","682","97","6.99",""
"70","","Final Fantasy VI","30022920","88920","141967","16","235","673","1","337.64",""
"71","","Red Dead Redemption","29894760","1270140","27683","200","6748","670","28","23.54",""
"72","","The Witcher 3: Wild Hunt","29879760","3506940","5271","170","9699","670","78","8.52",""
"73","","Garry's Mod","29157360","1823940","20563","94","7186","654","40","15.99",""
"74","","Ultimate Marvel vs. Capcom 3","28941720","43140","120615","11","93","649","0","670.88",""
"75","","Kartrider","27966840","203400","7023","19","489","627","4","137.5",""
