"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4603845900","67662840","263539","2903","103085","106718","1568","68.04",""
"2","","Hearthstone","2476431300","10903620","331248","405","23170","57404","252","227.12",""
"3","","Dota 2","2002361820","17786700","173538","879","25369","46415","412","112.58",""
"4","","Counter-Strike: Global Offensive","1975738440","34479060","219844","1669","77914","45798","799","57.3",""
"5","","Overwatch","1222707840","40585920","247288","2089","105104","28342","940","30.13",""
"6","","World of Warcraft","902739600","29965500","89235","1926","40077","20925","694","30.13",""
"7","","Z1: Battle Royale","874360740","17334960","67772","651","26552","20267","401","50.44",""
"8","","FIFA 17","485516340","9006060","78113","505","24943","11254","208","53.91",""
"9","","Talk Shows & Podcasts","457967880","4225320","75991","203","13719","10615","97","108.39",""
"10","","Minecraft","456391740","17067480","82474","943","47055","10579","395","26.74",""
"11","","Call of Duty: Infinite Warfare","383039580","9279180","75932","958","46444","8878","215","41.28",""
"12","","Destiny","375831720","67587420","23631","4342","73505","8711","1566","5.56",""
"13","","RuneScape","348490620","4329420","25677","170","6840","8078","100","80.49",""
"14","","Call of Duty: Modern Warfare Remastered","319621560","6417120","74303","484","37998","7408","148","49.81",""
"15","","Arma 3","314401020","5243040","45332","317","7467","7287","121","59.97",""
"16","","StarCraft II","300015540","3053040","130773","135","4748","6954","70","98.27",""
"17","","Creative","295786740","10628460","20777","404","20853","6856","246","27.83",""
"18","","Dead by Daylight","278234220","7452960","22953","372","10247","6449","172","37.33",""
"19","","Battlefield 1","274287300","23794980","41225","1297","70193","6358","551","11.53",""
"20","","World of Tanks","252567060","6896340","45834","333","10411","5854","159","36.62",""
"21","","Heroes of the Storm","252085740","6664620","86526","362","13519","5843","154","37.82",""
"22","","Pokémon Sun/Moon","240629820","2398920","27214","352","2792","5577","55","100.31",""
"23","","Tom Clancy's Rainbow Six Siege","228644760","14890200","62002","929","41319","5300","345","15.36",""
"24","","Planet Coaster","216006660","2510640","57195","218","5702","5007","58","86.04",""
"25","","Final Fantasy XV","199978200","7229280","110368","3562","27428","4635","167","27.66",""
"26","","The Elder Scrolls V: Skyrim","193994100","12815580","17233","680","27138","4496","297","15.14",""
"27","","Watch Dogs 2","167454060","1709040","60009","220","12911","3881","39","97.98",""
"28","","SMITE","164514840","6309600","25316","274","13774","3813","146","26.07",""
"29","","Tom Clancy's The Division","154324080","8965380","36710","547","19819","3577","207","17.21",""
"30","","Poker","151592460","1978500","18231","106","2161","3513","45","76.62",""
"31","","Dark Souls III","147294480","5738460","19471","274","15075","3414","133","25.67",""
"32","","Dishonored 2","140550000","2977440","86255","389","8480","3257","69","47.2",""
"33","","NBA 2K17","140051520","9796320","39297","1778","28316","3246","227","14.3",""
"34","","Grand Theft Auto V","116386080","14743740","26332","823","50966","2697","341","7.89",""
"35","","Magic: The Gathering","113765340","711660","21502","38","849","2637","16","159.86",""
"36","","Super Smash Bros. Melee","112326780","660420","54362","52","1836","2603","15","170.08",""
"37","","Street Fighter V","100060380","1468500","46098","67","3735","2319","34","68.14",""
"38","","Rocket League","97336080","6880440","14986","331","27591","2256","159","14.15",""
"39","","Clash Royale","97131900","1607520","14063","86","4693","2251","37","60.42",""
"40","","Path of Exile","89568240","2431860","9905","101","3306","2076","56","36.83",""
"41","","Super Mario Maker","79122060","860640","15468","44","1080","1834","19","91.93",""
"42","","Sid Meier's Civilization VI","77797800","1604220","27866","131","3336","1803","37","48.5",""
"43","","DayZ","68782560","2827380","5945","153","4303","1594","65","24.33",""
"44","","Rust","67607940","3007740","26533","231","5686","1567","69","22.48",""
"45","","Farming Simulator 17","65768220","4619580","6843","300","6891","1524","107","14.24",""
"46","","Titanfall 2","63369600","3077940","12236","224","14840","1468","71","20.59",""
"47","","Music","61811280","1232340","32009","59","3628","1432","28","50.16",""
"48","","Black Desert","59410200","2607600","5048","106","2914","1377","60","22.78",""
"49","","Chess","57727260","207180","48490","17","395","1338","4","278.63",""
"50","","The Binding of Isaac: Repentance","57351720","1140660","7804","55","2667","1329","26","50.28",""
"51","","PUBG: BATTLEGROUNDS","51491640","534540","42520","232","1439","1193","12","96.33",""
"52","","Yakuza 0","51069660","114720","19112","23","104","1183","2","445.17",""
"53","","Ark: Survival Evolved","50361360","3127440","14169","146","4316","1167","72","16.1",""
"54","","Warcraft III","48161820","1004520","9147","53","1050","1116","23","47.95",""
"55","","Retro","47129100","1344840","4838","59","1599","1092","31","35.04",""
"56","","Bloodborne","46516800","2033400","9175","94","5726","1078","47","22.88",""
"57","","Steep","45732060","857880","32974","192","8730","1060","19","53.31",""
"58","","Halo 5: Guardians","45523740","2758140","9339","171","6608","1055","63","16.51",""
"59","","Gears of War 4","44920560","3710580","35497","237","10486","1041","86","12.11",""
"60","","Paragon","44309460","4840500","4404","410","7681","1027","112","9.15",""
"61","","Call of Duty: Black Ops III","44141100","12690120","12372","857","46525","1023","294","3.48",""
"62","","Diablo II: Lord of Destruction","43994340","866580","7685","86","997","1019","20","50.77",""
"63","","Super Smash Bros. for Wii U","43981800","847200","12547","87","1776","1019","19","51.91",""
"64","","Dungeons & Dragons","43278900","690600","27699","92","1203","1003","16","62.67",""
"65","","My Summer Car","38674920","665880","36292","53","1680","896","15","58.08",""
"66","","Pokémon Omega Ruby/Alpha Sapphire","38296980","915240","8896","71","1471","887","21","41.84",""
"67","","osu!","37794660","3787920","11841","180","12272","876","87","9.98",""
"68","","Penn & Teller's Smoke and Mirrors","37509840","10980","6745","3","13","869","0","3416.2",""
"69","","The Legend of Zelda: Ocarina of Time","37200060","556140","6961","58","888","862","12","66.89",""
"70","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","35592900","1617780","6962","101","1444","825","37","22",""
"71","","Heroes of Might and Magic III: The Shadow of Death","34854600","186180","14949","16","224","807","4","187.21",""
"72","","Diablo III","34117920","3682920","9764","159","8076","790","85","9.26",""
"73","","Tibia","33877380","1209960","2588","62","1376","785","28","28",""
"74","","World of Final Fantasy","33685320","1984440","9423","149","3388","780","46","16.97",""
"75","","World of Warships","33062940","1693140","5623","78","2648","766","39","19.53",""
"76","","Shadowverse","33056580","988380","25600","45","1871","766","22","33.45",""
"77","","Madden NFL 17","32836740","9355620","5553","618","22384","761","216","3.51",""
"78","","Paladins","32051760","3191820","31166","168","9216","742","73","10.04",""
"79","","Final Fantasy XIV: Heavensward","30413520","3248880","7784","310","6210","704","75","9.36",""
"80","","Battlerite","30184740","1331760","14304","79","3220","699","30","22.67",""
"81","","EVE Online","29264640","747060","3340","47","1327","678","17","39.17",""
"82","","Summoners War: Sky Arena","29197620","672900","3203","41","752","676","15","43.39",""
"83","","Warframe","28748820","3329400","12098","185","8144","666","77","8.63",""
"84","","Jackbox Party Packs","28738140","739140","29702","91","2876","666","17","38.88",""
"85","","Social Eating","28026720","336960","15551","23","2630","649","7","83.18",""
"86","","The Sims 4","27775680","820140","13953","52","2372","643","19","33.87",""
"87","","7 Days to Die","27697920","3872400","3579","185","7934","642","89","7.15",""
"88","","Gwent: The Witcher Card Game","26243940","881640","4934","66","2056","608","20","29.77",""
"89","","Garry's Mod","25858980","1234500","27338","92","4415","599","28","20.95",""
"90","","Dishonored","25365360","852120","12707","73","3466","587","19","29.77",""
"91","","Stardew Valley","24795780","1117860","10882","58","2788","574","25","22.18",""
"92","","HITMAN","24736320","526200","31942","46","2242","573","12","47.01",""
"93","","Casino Games","24588840","388380","3695","25","398","569","9","63.31",""
"94","","Dragon Ball: Xenoverse 2","24420540","1312200","7849","112","8639","566","30","18.61",""
"95","","Blade & Soul","24083160","1501680","6092","68","1791","558","34","16.04",""
"96","","The Elder Scrolls Online","22714980","1605480","1673","108","5636","526","37","14.15",""
"97","","Mario Kart 8","22490220","245160","14069","33","824","521","5","91.74",""
"98","","Call of Duty 4: Modern Warfare","22080780","763680","24486","231","3334","511","17","28.91",""
"99","","Dark Souls","21678840","1256040","5597","66","2694","502","29","17.26",""
"100","","Vainglory","21673200","455820","8877","25","609","502","10","47.55",""
