"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5450107800","71373960","325835","2465","96112","122254","1601","76.36",""
"2","","Hearthstone","2326922340","10168860","241636","387","18841","52196","228","228.83",""
"3","","Dota 2","2302898040","19983360","325165","1228","24240","51657","448","115.24",""
"4","","Counter-Strike: Global Offensive","2212245180","42186420","508269","2086","84382","49624","946","52.44",""
"5","","PUBG: BATTLEGROUNDS","1492673280","17340660","150320","1629","26794","33483","388","86.08",""
"6","","Overwatch","1354742580","55126620","98176","2808","102428","30389","1236","24.58",""
"7","","The Legend of Zelda: Breath of the Wild","857939280","13984260","148409","1408","11788","19244","313","61.35",""
"8","","Z1: Battle Royale","760102380","28098840","56523","1053","39334","17050","630","27.05",""
"9","","World of Warcraft","547095480","27401820","29497","1606","31735","12272","614","19.97",""
"10","","IRL","533128260","6310920","59522","237","18103","11958","141","84.48",""
"11","","Power Rangers: Battle for the Grid","485476080","520680","71017","101","995","10889","11","932.39",""
"12","","FIFA 17","385463340","9385320","59295","541","21773","8646","210","41.07",""
"13","","RuneScape","380606760","5415180","94782","219","7390","8537","121","70.29",""
"14","","Destiny","368621460","53192940","107657","4818","55717","8268","1193","6.93",""
"15","","Horizon Zero Dawn","347233140","7322760","108478","880","39390","7788","164","47.42",""
"16","","Path of Exile","341830500","9128280","35294","1169","8320","7667","204","37.45",""
"17","","Minecraft","337436580","16769160","39172","925","38531","7569","376","20.12",""
"18","","Talk Shows & Podcasts","337108320","3958020","162173","203","11542","7561","88","85.17",""
"19","","Creative","288810720","13068360","24940","483","22628","6478","293","22.1",""
"20","","StarCraft II","287359920","3390420","68750","130","4584","6445","76","84.76",""
"21","","Heroes of the Storm","285997140","6819300","41781","270","10014","6415","152","41.94",""
"22","","Tom Clancy's Rainbow Six Siege","283071360","24947640","26077","1200","53944","6349","559","11.35",""
"23","","Mass Effect: Andromeda","274652820","7238640","71484","1207","11982","6160","162","37.94",""
"24","","World of Tanks","254068260","8139960","28161","390","10300","5699","182","31.21",""
"25","","Poker","246673680","2602800","24901","139","2278","5533","58","94.77",""
"26","","SMITE","210293820","7689420","26354","331","12887","4717","172","27.35",""
"27","","Dark Souls III","207384120","7855200","96954","1109","19036","4651","176","26.4",""
"28","","Casino_old","197208180","784560","9136","38","551","4423","17","251.36",""
"29","","For Honor","195430200","9348360","17659","537","20169","4383","209","20.91",""
"30","","Arma 3","187404300","5905680","33052","386","7976","4203","132","31.73",""
"31","","Grand Theft Auto V","184688460","16115520","21609","827","43191","4142","361","11.46",""
"32","","Tom Clancy's Ghost Recon: Wildlands","177872400","8266620","67568","1061","29470","3989","185","21.52",""
"33","","Street Fighter V","173293920","1934640","62099","142","4095","3887","43","89.57",""
"34","","Rocket League","171342960","8969640","49982","639","28965","3843","201","19.1",""
"35","","NBA 2K17","131389320","12767940","14310","673","27807","2947","286","10.29",""
"36","","Call of Duty: Infinite Warfare","127395660","11503920","33055","614","25997","2857","258","11.07",""
"37","","Dead by Daylight","122538900","5805180","18264","408","7570","2748","130","21.11",""
"38","","Super Smash Bros. Melee","111420900","761580","59515","58","1862","2499","17","146.3",""
"39","","Magic: The Gathering","110236920","960600","16692","54","1114","2472","21","114.76",""
"40","","Rust","100666140","4487820","12866","254","7058","2258","100","22.43",""
"41","","Halo 5: Guardians","98831940","3220620","65207","161","6258","2216","72","30.69",""
"42","","Clash Royale","97570620","1599120","27200","107","3930","2188","35","61.02",""
"43","","Black Desert","96704760","4182360","9130","246","4635","2169","93","23.12",""
"44","","NieR: Automata","95258100","3886200","36003","537","13429","2136","87","24.51",""
"45","","Super Smash Bros. for Wii U","89318100","838740","55611","71","1666","2003","18","106.49",""
"46","","Deceit","86960340","913080","56456","59","1628","1950","20","95.24",""
"47","","Battlefield 1","78229260","10973640","22486","639","29214","1754","246","7.13",""
"48","","Ark: Survival Evolved","74937960","7047900","5339","329","11041","1680","158","10.63",""
"49","","Blackwake","65519400","1195380","38978","117","3852","1469","26","54.81",""
"50","","Warcraft III","65078040","1199640","22479","57","1193","1459","26","54.25",""
"51","","Tom Clancy's The Division","61884420","7660920","9748","422","12588","1388","171","8.08",""
"52","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","61147020","1801200","7149","111","1454","1371","40","33.95",""
"53","","The Binding of Isaac: Repentance","59939640","1350480","10247","63","3175","1344","30","44.38",""
"54","","Call of Duty: Black Ops III","57147000","13878240","10790","759","35543","1281","311","4.12",""
"55","","Resident Evil 7: Biohazard","55988580","3897480","15039","265","12829","1255","87","14.37",""
"56","","Dungeons & Dragons","55786140","981240","31253","101","1556","1251","22","56.85",""
"57","","Pokémon Sun/Moon","55665420","1570080","5671","70","1597","1248","35","35.45",""
"58","","Super Mario Maker","55596840","704580","9462","34","832","1247","15","78.91",""
"59","","Music","55480140","1636620","9180","74","3712","1244","36","33.9",""
"60","","The Witcher 3: Wild Hunt","54898140","2639400","16634","126","5966","1231","59","20.8",""
"61","","Gwent: The Witcher Card Game","49855680","1194780","7158","57","2225","1118","26","41.73",""
"62","","Call of Duty: Modern Warfare Remastered","49154520","5295480","10713","379","14622","1102","118","9.28",""
"63","","Madden NFL 17","48708120","8980140","9448","595","19354","1092","201","5.42",""
"64","","Paladins","47286720","3959940","12019","180","10142","1060","88","11.94",""
"65","","Hollow Knight","46124220","1201620","15212","72","2171","1034","26","38.39",""
"66","","Darkest Dungeon","43117620","777960","10251","41","1500","967","17","55.42",""
"67","","Summoners War: Sky Arena","42653880","854820","9414","53","859","956","19","49.9",""
"68","","DayZ","39057600","2280720","4009","123","3311","876","51","17.13",""
"69","","Bloodborne","37092180","2126520","5931","100","4979","832","47","17.44",""
"70","","Albion Online","36968340","947520","25405","89","1282","829","21","39.02",""
"71","","Shadowverse","36825960","914040","20641","85","1403","826","20","40.29",""
"72","","Diablo III","36289800","3052140","14851","1031","6745","814","68","11.89",""
"73","","World of Warships","35866440","1881900","3304","86","2512","804","42","19.06",""
"74","","Final Fantasy XIV: Heavensward","34409580","3281700","14085","227","6166","771","73","10.49",""
"75","","osu!","32856780","4382700","9373","195","12770","737","98","7.5",""
"76","","Tibia","32533440","1336800","2914","69","1416","729","29","24.34",""
"77","","The Elder Scrolls V: Skyrim","32415060","3869760","4226","157","8905","727","86","8.38",""
"78","","Paragon","32157000","3703860","2325","187","5072","721","83","8.68",""
"79","","Gears of War 4","30794160","2511300","21727","137","5520","690","56","12.26",""
"80","","Retro","29317620","1752000","3274","93","2027","657","39","16.73",""
"81","","Nioh","27789360","2730960","6283","164","5181","623","61","10.18",""
"82","","Mass Effect 3","27245640","1556460","8578","108","2310","611","34","17.5",""
"83","","Warframe","26693400","4089120","10791","195","7820","598","91","6.53",""
"84","","Fallout 4","26054880","3644460","6645","163","8070","584","81","7.15",""
"85","","XCOM 2","25964160","747300","5895","39","1233","582","16","34.74",""
"86","","Super Mario 64","25709640","668820","3391","41","1080","576","15","38.44",""
"87","","Blade & Soul","25338900","2018340","5829","89","2157","568","45","12.55",""
"88","","MLB The Show 17","24962340","224580","17953","101","2049","559","5","111.15",""
"89","","7 Days to Die","24714780","3342420","2524","150","5653","554","74","7.39",""
"90","","Vainglory","23704260","420900","8572","23","544","531","9","56.32",""
"91","","Borderlands 2","23673120","1817340","5146","101","4457","531","40","13.03",""
"92","","The Elder Scrolls: Legends","22337640","287160","19205","23","591","501","6","77.79",""
"93","","The Legend of Zelda: Ocarina of Time","22247160","620880","8484","37","1146","499","13","35.83",""
"94","","The Elder Scrolls Online","22127160","2490840","3133","115","4788","496","55","8.88",""
"95","","Dark Souls","21108120","1364940","5850","71","2916","473","30","15.46",""
"96","","Diablo II: Lord of Destruction","20507400","486480","4296","27","595","460","10","42.15",""
"97","","MapleStory","20416860","1106880","2582","53","1309","457","24","18.45",""
"98","","Games + Demos","20187060","451080","11700","30","1399","452","10","44.75",""
"99","","Age of Empires II","20016000","343200","4339","21","341","448","7","58.32",""
"100","","RimWorld","19640040","903360","7195","42","1397","440","20","21.74",""
