"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5275771500","73882440","647413","2498","121711","118343","1657","71.41",""
"2","","PUBG: BATTLEGROUNDS","2832635220","64938600","320280","2350","98114","63540","1456","43.62",""
"3","","Hearthstone","2364541740","10996020","127946","418","25786","53040","246","215.04",""
"4","","Dota 2","2060968200","18755940","215761","860","28614","46230","420","109.88",""
"5","","Counter-Strike: Global Offensive","1401879600","36873540","194589","1671","101064","31446","827","38.02",""
"6","","Overwatch","1232383380","53139300","89639","2585","140295","27644","1191","23.19",""
"7","","Grand Theft Auto V","1192765980","18273900","122577","792","61165","26755","409","65.27",""
"8","","IRL","667605780","9425760","58141","319","29968","14975","211","70.83",""
"9","","Heroes of the Storm","623215560","15877980","63509","703","36453","13979","356","39.25",""
"10","","World of Warcraft","490755180","25501500","30738","1551","37316","11008","572","19.24",""
"11","","Friday the 13th: The Game","424460940","6678720","125328","1499","22386","9521","149","63.55",""
"12","","FIFA 17","411446460","8625660","84235","586","29117","9229","193","47.7",""
"13","","Z1: Battle Royale","404470080","18045420","60997","674","31702","9072","404","22.41",""
"14","","Minecraft","384121860","15464940","62008","776","49235","8616","346","24.84",""
"15","","Destiny","381663480","47353140","22715","2296","67862","8561","1062","8.06",""
"16","","World of Tanks","302640300","6842820","109108","331","11257","6788","153","44.23",""
"17","","RuneScape","288226320","5667420","22774","213","9360","6465","127","50.86",""
"18","","Poker","285354540","2227260","27865","124","2490","6400","49","128.12",""
"19","","Talk Shows & Podcasts","245802720","3239640","53697","168","11529","5513","72","75.87",""
"20","","Creative","228074100","13370220","26789","509","26821","5116","299","17.06",""
"21","","Tom Clancy's Rainbow Six Siege","224174100","20510640","42521","948","62207","5028","460","10.93",""
"22","","Injustice 2","205987260","4056540","64375","947","14341","4620","90","50.78",""
"23","","Prey","200379600","6012540","104034","781","15930","4494","134","33.33",""
"24","","StarCraft II","192118080","3244500","13997","120","5412","4309","72","59.21",""
"25","","SMITE","184882140","6824220","26791","284","15295","4147","153","27.09",""
"26","","Street Fighter V","158266080","1755060","53647","126","4901","3550","39","90.18",""
"27","","Magic: The Gathering","153332940","1073760","44857","59","1320","3439","24","142.8",""
"28","","Clash Royale","141122520","1456380","29644","83","4428","3165","32","96.9",""
"29","","Dead by Daylight","133614120","6343740","22087","424","9383","2997","142","21.06",""
"30","","Call of Duty: Black Ops III","130944720","24221640","28064","2517","92402","2937","543","5.41",""
"31","","Rocket League","126829200","8517480","47147","392","38061","2844","191","14.89",""
"32","","NBA 2K17","118203180","10109520","15611","511","32240","2651","226","11.69",""
"33","","Arma 3","110784840","4552320","15154","289","8052","2485","102","24.34",""
"34","","Black Desert","107416020","4889220","6952","239","6495","2409","109","21.97",""
"35","","Gwent: The Witcher Card Game","101848200","1831020","49264","228","5415","2284","41","55.62",""
"36","","Mario Kart 8","100998480","1928700","50820","144","5269","2265","43","52.37",""
"37","","Dark Souls III","98079720","6483120","9105","242","18737","2200","145","15.13",""
"38","","Casino_old","95553060","761760","8696","38","730","2143","17","125.44",""
"39","","Path of Exile","92753280","3128700","12773","125","4602","2080","70","29.65",""
"40","","The Surge","85555200","1826880","48444","365","5214","1919","40","46.83",""
"41","","Mister Rogers' Neighborhood","83691900","62580","12304","15","123","1877","1","1337.36",""
"42","","Dead Cells","83075400","1750020","64823","122","6309","1863","39","47.47",""
"43","","Quake Champions","81144480","2099760","56791","540","10278","1820","47","38.64",""
"44","","Rust","78715800","3508560","13749","205","7450","1765","78","22.44",""
"45","","Outlast 2","71649420","3845580","19807","462","20969","1607","86","18.63",""
"46","","Shadowverse","70230060","1269600","19115","90","2562","1575","28","55.32",""
"47","","For Honor","69876180","3401160","25024","256","11492","1567","76","20.54",""
