"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5341493760","106478880","435859","4809","165074","119818","2388","50.16",""
"2","","Counter-Strike: Global Offensive","4176208020","47053560","1298358","1978","125843","93678","1055","88.75",""
"3","","PUBG: BATTLEGROUNDS","3227634540","144327720","192427","5100","252217","72400","3237","22.36",""
"4","","Fortnite","2756199960","141790860","196517","6418","302468","61825","3180","19.44",""
"5","","Hearthstone","2103964140","14442660","286606","487","31766","47195","323","145.68",""
"6","","Overwatch","1957253460","67086180","461851","2940","142342","43904","1504","29.18",""
"7","","IRL","1871001060","25965660","230845","1019","75863","41969","582","72.06",""
"8","","Dota 2","1855286040","24594480","182289","909","34045","41617","551","75.44",""
"9","","Sea of Thieves","868494840","4784160","261898","900","11327","19481","107","181.54",""
"10","","Grand Theft Auto V","776212560","23048520","59852","1045","58405","17411","517","33.68",""
"11","","Monster Hunter: World","740393160","13561920","169921","2525","56100","16608","304","54.59",""
"12","","World of Warcraft","727679700","38037060","111552","2219","49035","16323","853","19.13",""
"13","","FIFA 18","615387720","11816520","143683","959","37800","13804","265","52.08",""
"14","","They Are Billions","601198500","6902100","96057","386","12514","13485","154","87.1",""
"15","","Escape from Tarkov","449167140","13606920","58348","557","16618","10075","305","33.01",""
"16","","Slay the Spire","358783020","3736140","46147","213","7848","8048","83","96.03",""
"17","","Heroes of the Storm","346434060","9138360","33498","317","15462","7771","204","37.91",""
"18","","Tom Clancy's Rainbow Six Siege","328995000","32763900","50325","1372","91977","7379","734","10.04",""
"19","","VRChat","308030820","5457600","47621","285","15187","6909","122","56.44",""
"20","","Subnautica","298948740","5750700","60950","548","13074","6705","128","51.98",""
"21","","Dead by Daylight","284257500","13953360","41918","885","23369","6376","312","20.37",""
"22","","RuneScape","280834800","7256940","32178","273","10193","6299","162","38.7",""
"23","","Call of Duty: WWII","280775940","11404620","65238","547","73873","6298","255","24.62",""
"24","","Talk Shows & Podcasts","260211000","2699280","51352","151","8894","5836","60","96.4",""
"25","","Dragon Ball FighterZ","252120180","6096480","50130","1894","23980","5655","136","41.36",""
"26","","Path of Exile","251679720","8680800","20854","341","10756","5645","194","28.99",""
"27","","StarCraft II","250170000","4124340","52008","160","7085","5611","92","60.66",""
"28","","Poker","249793140","2389500","46473","157","2606","5603","53","104.54",""
"29","","SMITE","249496140","7473000","94811","317","15013","5596","167","33.39",""
"30","","Minecraft","239923440","15447120","34987","681","42756","5381","346","15.53",""
"31","","Creative","230579820","16563360","28774","611","31676","5172","371","13.92",""
"32","","Music","220929240","6187080","16982","196","7804","4955","138","35.71",""
"33","","Black Desert","212306100","8464860","16542","342","10928","4762","189","25.08",""
"34","","World of Tanks","211529040","8612100","22497","383","12107","4744","193","24.56",""
"35","","Casino_old","195286620","1179180","19307","61","1092","4380","26","165.61",""
"36","","Street Fighter V","160912620","2851200","51806","336","7322","3609","63","56.44",""
"37","","Rocket League","151019760","11966760","79487","479","47379","3387","268","12.62",""
"38","","Dark Souls III","144337080","7580580","202405","302","20584","3237","170","19.04",""
"39","","Gwent: The Witcher Card Game","124145100","1601520","33000","81","2518","2784","35","77.52",""
"40","","Magic: The Gathering","121796640","1283940","16344","76","1582","2732","28","94.86",""
"41","","Ark: Survival Evolved","120435240","9939960","15455","414","17943","2701","222","12.12",""
"42","","Destiny 2","118975560","15844740","15396","798","34091","2668","355","7.51",""
"43","","Always On","113143080","609600","10866","18","33","2537","13","185.6",""
"44","","Rust","111117660","5644320","16103","315","10712","2492","126","19.69",""
"45","","The Legend of Zelda: Breath of the Wild","109350780","2621520","191576","125","4401","2452","58","41.71",""
"46","","Z1: Battle Royale","97802220","5825640","53373","316","12260","2193","130","16.79",""
