"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","81482934840","4774106760","1460297","34564","4058092","155046","9084","17.07",""
"2","","League of Legends","59122841100","1114259940","1147825","4981","768957","112499","2120","53.06",""
"3","","Dota 2","28344889140","308675820","749471","1473","185617","53934","587","91.83",""
"4","","PUBG: BATTLEGROUNDS","27249424560","1058021220","579861","6473","855370","51850","2013","25.76",""
"5","","Counter-Strike: Global Offensive","24106519440","521227980","1298358","3173","680351","45869","991","46.25",""
"6","","Hearthstone","21456686700","139346400","309090","2277","172671","40827","265","153.98",""
"7","","IRL","20782208160","297429540","264068","1664","500692","39544","565","69.87",""
"8","","Overwatch","18107483340","677873280","461851","3111","707558","34455","1289","26.71",""
"9","","World of Warcraft","15614097300","543406140","590245","15619","286541","29710","1033","28.73",""
"10","","Grand Theft Auto V","8833455060","245565480","82575","1572","388547","16808","467","35.97",""
"11","","Just Chatting","8478230820","101970780","227149","1847","198250","16132","194","83.14",""
"12","","Call of Duty: Black Ops 4","8335284180","281224980","586545","13323","572714","15860","535","29.64",""
"13","","Tom Clancy's Rainbow Six Siege","6929861340","463437720","253151","2490","677147","13186","881","14.95",""
"14","","Dead by Daylight","5692454940","254263380","146848","1490","239139","10831","483","22.39",""
"15","","Destiny 2","4211079600","322508760","181929","8097","324038","8012","613","13.06",""
"16","","Path of Exile","4143240300","111829080","115737","3008","72945","7883","212","37.05",""
"17","","Heroes of the Storm","3987519720","97374420","74026","341","83775","7587","185","40.95",""
"18","","FIFA 19","3754793940","67330620","167405","2400","135361","7144","128","55.77",""
"19","","StarCraft II","3700249140","48987780","148897","193","40862","7040","93","75.53",""
"20","","Talk Shows & Podcasts","3673335540","38442240","346483","411","75930","6989","73","95.55",""
"21","","Music","3373526640","114776820","50673","387","71462","6419","218","29.39",""
"22","","Sea of Thieves","3163395720","95442240","261898","4908","132995","6019","181","33.14",""
"23","","Monster Hunter: World","3135335520","141924720","169921","5262","245278","5965","270","22.09",""
"24","","Magic: The Gathering","3039140280","39907320","54837","420","39545","5782","75","76.15",""
"25","","Minecraft","3038254860","179567940","65539","877","312658","5781","341","16.92",""
"26","","Rocket League","2949345420","160065840","173257","684","333152","5612","304","18.43",""
"27","","Casino","2925845340","9064500","111963","179","5576","5567","17","322.78",""
"28","","Poker","2853853380","34618200","46473","211","18123","5430","65","82.44",""
"29","","Escape from Tarkov","2814093060","106930800","58348","692","59356","5354","203","26.32",""
"30","","Casino_old","2783776680","18862080","56607","120","7371","5296","35","147.59",""
"31","","Warframe","2634326520","107232420","402554","756","135015","5012","204","24.57",""
"32","","FIFA 18","2568628500","83343960","143683","1216","179312","4887","158","30.82",""
"33","","Always On","2323347240","7283340","57919","21","252","4420","13","318.99",""
"34","","Red Dead Redemption 2","2284465020","110571180","382860","8785","203355","4346","210","20.66",""
"35","","Creative","2224967100","152823180","55284","660","140544","4233","290","14.56",""
"36","","World of Tanks","2192850780","86337960","62930","436","59901","4172","164","25.4",""
"37","","RuneScape","2146878660","57783300","74563","281","45635","4085","109","37.15",""
"38","","Black Desert","2134883100","90164400","19518","392","55409","4062","171","23.68",""
"39","","Street Fighter V","1751760720","24593700","194902","336","25294","3333","46","71.23",""
"40","","Old School RuneScape","1670427720","34281180","105265","253","34615","3178","65","48.73",""
"41","","God of War","1613680860","70211460","292083","5006","128891","3070","133","22.98",""
"42","","Ark: Survival Evolved","1584809460","93268980","45885","765","93689","3015","177","16.99",""
"43","","Rust","1570108800","65883480","44150","412","74274","2987","125","23.83",""
"44","","Slay the Spire","1548689940","23867700","48164","213","37548","2946","45","64.89",""
"45","","Realm Royale Reforged","1542831840","50516400","195317","2408","121540","2935","96","30.54",""
"46","","Super Smash Bros. Ultimate","1481466000","20768940","226029","3619","33939","2818","39","71.33",""
"47","","Call of Duty: WWII","1460401200","57987540","148960","547","265061","2778","110","25.18",""
"48","","SMITE","1460042640","80815560","94811","546","84137","2778","153","18.07",""
"49","","Warcraft III","1448008500","20691600","39861","98","12707","2755","39","69.98",""
"50","","E3 2018","1407708900","3931500","1817345","5125","13368","2678","7","358.06",""
"51","","Pokémon: Let's Go, Pikachu!","1337964660","16713480","143784","1583","21304","2545","31","80.05",""
"52","","Dragon Ball FighterZ","1294844880","33508080","241067","1894","77489","2463","63","38.64",""
"53","","Dark Souls","1242141360","33515640","103455","871","48779","2363","63","37.06",""
"54","","Lost Ark","1223921940","20974080","89384","1573","11971","2328","39","58.35",""
"55","","Games + Demos","1193652000","18399420","83437","98","31938","2271","35","64.87",""
"56","","Atlas","1160438280","9058140","318887","2104","14794","2208","17","128.11",""
"57","","VRChat","1117805760","44555160","47621","285","42874","2126","84","25.09",""
