"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","10122417120","153048720","650779","8045","332334","234641","3547","66.14",""
"2","","Among Us","8827934880","150464100","745468","12317","410661","204634","3487","58.67",""
"3","","League of Legends","8100493320","190480500","794857","6737","230335","187772","4415","42.53",""
"4","","Fortnite","4669447980","375935940","271740","17083","561921","108239","8714","12.42",""
"5","","Call of Duty: Warzone","4434780480","383816700","363931","17370","422050","102799","8897","11.55",""
"6","","Grand Theft Auto V","3537012120","73700820","318681","3147","98039","81989","1708","47.99",""
"7","","Counter-Strike: Global Offensive","3217388220","61792260","306910","2620","114511","74580","1432","52.07",""
"8","","Minecraft","2343382080","92942280","431196","3771","203417","54320","2154","25.21",""
"9","","Dota 2","2286460680","33069900","269456","1402","26860","53000","766","69.14",""
"10","","VALORANT","2246881740","129593160","155402","5330","196434","52083","3004","17.34",""
"11","","Fall Guys","2163267180","62890440","617661","4498","223720","50145","1457","34.4",""
"12","","World of Warcraft","1699965300","64665540","114189","3889","62389","39405","1498","26.29",""
"13","","Apex Legends","1474973400","109176060","78679","3868","144309","34190","2530","13.51",""
"14","","Dead by Daylight","1289552340","61593600","87686","2682","85128","29892","1427","20.94",""
"15","","Hearthstone","1251837540","10368060","86009","527","13477","29018","240","120.74",""
"16","","Music","1167198420","40714680","125133","1560","32892","27056","943","28.67",""
"17","","Teamfight Tactics","1135880940","22239240","115620","1567","40534","26330","515","51.08",""
"18","","NBA 2K21","871698480","53630280","112997","6873","68466","20206","1243","16.25",""
"19","","Rocket League","844063920","42316440","136304","3520","151620","19565","980","19.95",""
"20","","Overwatch","778892160","45088260","58428","1725","74060","18054","1045","17.27",""
"21","","Slots","769296420","4946640","76613","192","3450","17832","114","155.52",""
"22","","Path of Exile","750865320","15287640","141391","3697","12906","17405","354","49.12",""
"23","","Escape from Tarkov","734171160","35368560","99336","1333","27034","17018","819","20.76",""
"24","","PUBG: BATTLEGROUNDS","688050060","38445780","70332","1419","45178","15949","891","17.9",""
"25","","Tom Clancy's Rainbow Six Siege","664990320","73320780","48552","3522","137597","15414","1699","9.07",""
"26","","DayZ","555084660","13903080","69758","624","16937","12867","322","39.93",""
"27","","Crusader Kings III","472383180","6173160","64778","803","8814","10950","143","76.52",""
"28","","Art","471603600","30433380","109701","1051","46893","10931","705","15.5",""
"29","","Poker","439642800","4672500","77415","336","4285","10191","108","94.09",""
"30","","Marvel's Avengers","430760940","24174180","200219","2451","34343","9985","560","17.82",""
"31","","Lost Ark","424436100","4527720","42242","349","4042","9838","104","93.74",""
"32","","Phasmophobia","385644240","6366120","150565","2037","18622","8939","147","60.58",""
"33","","Destiny 2","378403440","37883940","30941","1848","46274","8771","878","9.99",""
"34","","Genshin Impact","363382860","18201540","212270","5761","46276","8423","421","19.96",""
"35","","Garena Free Fire","352580460","7468440","78472","396","11374","8172","173","47.21",""
"36","","Special Events","347835780","2112420","2184938","5155","9399","8062","48","164.66",""
"37","","Spellbreak","339911640","21965640","68957","1472","64245","7879","509","15.47",""
"38","","Spelunky 2","331840860","1317420","60319","354","3159","7692","30","251.89",""
"39","","Hades","330975060","5597520","57365","512","13036","7672","129","59.13",""
"40","","Talk Shows & Podcasts","327347940","7068840","125286","457","11116","7588","163","46.31",""
"41","","Mafia: Definitive Edition","323688000","4030860","181475","1449","8841","7503","93","80.3",""
"42","","Black Desert","318025860","10567020","31153","510","9305","7371","244","30.1",""
"43","","Magic: The Gathering","314274660","5562300","39159","311","7211","7284","128","56.5",""
"44","","StarCraft II","306298020","3910140","43408","148","4984","7100","90","78.33",""
"45","","ASMR","290747940","4601280","14661","143","2785","6739","106","63.19",""
"46","","Old School RuneScape","286259220","7687680","16056","274","7099","6635","178","37.24",""
"47","","Chess","285258360","2389020","123597","112","4329","6612","55","119.4",""
"48","","FIFA 21","269591700","571080","285517","857","2674","6249","13","472.07",""
"49","","Call of Duty: Black Ops Cold War","267345480","5700420","705050","7004","19543","6197","132","46.9",""
"50","","Tony Hawk's Pro Skater 1+2","257375100","5560560","130743","1122","23818","5966","128","46.29",""
"51","","Sports","257049660","2464320","121079","114","4238","5958","57","104.31",""
"52","","SMITE","243749040","11965500","22614","538","16135","5650","277","20.37",""
"53","","FIFA 20","239429400","16245000","27552","863","35493","5550","376","14.74",""
"54","","Sea of Thieves","231242580","18529680","35432","1046","29793","5360","429","12.48",""
"55","","Madden NFL 21","210984360","19580580","36842","1439","36362","4890","453","10.78",""
"56","","World of Tanks","203603700","7716660","131606","402","7469","4719","178","26.38",""
"57","","Rust","197809920","9362220","32378","606","13205","4585","217","21.13",""
"58","","Retro","196230060","7885980","19373","358","8811","4548","182","24.88",""
"59","","World of Warships","195527880","4626300","21742","202","4347","4532","107","42.26",""
"60","","Dungeons & Dragons","194468760","4561980","78504","409","7196","4507","105","42.63",""
"61","","Tibia","192854400","7785240","9301","363","5149","4470","180","24.77",""
"62","","Final Fantasy XIV Online","179100300","18084420","30134","1032","18829","4151","419","9.9",""
"63","","MapleStory","177750600","4279440","28950","199","4810","4120","99","41.54",""
"64","","VRChat","167026140","4998900","81185","272","7826","3871","115","33.41",""
"65","","Games + Demos","159115020","3454560","35162","136","8359","3688","80","46.06",""
"66","","The Elder Scrolls Online","156571380","6116280","59777","266","6986","3629","141","25.6",""
"67","","Conan Exiles","149265540","4561440","29987","339","4881","3460","105","32.72",""
"68","","Watch Parties","144819480","2092560","109895","154","10356","3356","48","69.21",""
"69","","Warframe","142985520","10138980","129996","429","13228","3314","235","14.1",""
"70","","Super Mario 3D All-Stars","141913440","4887420","45152","1571","14467","3289","113","29.04",""
"71","","The Witcher 3: Wild Hunt","136439280","5278740","25865","262","9143","3162","122","25.85",""
"72","","Science & Technology","129930240","9327300","24586","339","8372","3011","216","13.93",""
