"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16966309740","178143240","2309980","6118","581351","393284","4129","95.24",""
"2","","League of Legends","7783023720","151292700","1051564","5044","239721","180413","3507","51.44",""
"3","","Grand Theft Auto V","7744370640","122867400","586901","5353","251245","179517","2848","63.03",""
"4","","VALORANT","6784710360","222359820","984205","8081","415290","157271","5154","30.51",""
"5","","Fortnite","4287817080","232810260","639272","10321","767403","99393","5396","18.42",""
"6","","Apex Legends","3990606180","232184400","295783","8894","446945","92503","5382","17.19",""
"7","","Counter-Strike: Global Offensive","3540176340","48157320","441386","2200","122078","82062","1116","73.51",""
"8","","Elden Ring","2363369220","128335200","294642","6051","235559","54783","2974","18.42",""
"9","","Dota 2","2255834400","33264900","155770","1414","41780","52291","771","67.81",""
"10","","Call of Duty: Warzone","2085923280","132234360","122583","5847","205758","48352","3065","15.77",""
"11","","Slots","1867880520","6073200","112531","266","6660","43298","140","307.56",""
"12","","Minecraft","1671603660","94552440","421274","3928","356281","38748","2191","17.68",""
"13","","FIFA 22","1544296740","34604220","345930","2287","124142","35797","802","44.63",""
"14","","Overwatch","1535882220","36273240","1459249","2725","93774","35602","840","42.34",""
"15","","Lost Ark","1522166700","34686420","143241","1581","36833","35284","804","43.88",""
"16","","World of Warcraft","1520631600","52424520","514105","3335","54490","35248","1215","29.01",""
"17","","Rust","1355194260","16553220","391822","1045","32201","31413","383","81.87",""
"18","","Hearthstone","1331903220","8610660","74680","687","15086","30873","199","154.68",""
"19","","Music","1297734360","51200940","90587","1980","76019","30081","1186","25.35",""
"20","","Dead by Daylight","1261645560","75418020","145248","2909","122461","29245","1748","16.73",""
"21","","Sports","1010090400","6597960","302458","504","24881","23414","152","153.09",""
"22","","PUBG: BATTLEGROUNDS","954653760","36757260","137712","1352","65269","22129","852","25.97",""
"23","","Escape from Tarkov","860339580","35392920","55104","1335","34069","19942","820","24.31",""
"24","","Teamfight Tactics","798591120","11874300","109312","412","31866","18511","275","67.25",""
"25","","ASMR","638219340","8605140","31142","267","15016","14794","199","74.17",""
"26","","Sea of Thieves","603220260","19482300","76384","972","46151","13982","451","30.96",""
"27","","Tom Clancy's Rainbow Six Siege","598911660","33743100","65613","1380","111213","13882","782","17.75",""
"28","","Final Fantasy XIV Online","565435260","26349240","83654","2890","35784","13106","610","21.46",""
"29","","Genshin Impact","546865380","37841220","38560","1707","82449","12676","877","14.45",""
"30","","Art","541293900","32369160","35918","1139","69531","12547","750","16.72",""
"31","","Rocket League","535991580","39477960","119103","1605","157361","12424","915","13.58",""
"32","","Virtual Casino","517318500","1716480","73094","91","2438","11991","39","301.38",""
"33","","Ark: Survival Evolved","497157180","15242580","174919","653","35916","11524","353","32.62",""
"34","","Special Events","486203340","2478840","325708","208","12423","11270","57","196.14",""
"35","","DayZ","395976180","12969240","58928","614","23997","9178","300","30.53",""
"36","","Destiny 2","390728040","30817620","34145","1641","56648","9057","714","12.68",""
"37","","Talk Shows & Podcasts","344505000","10316100","142296","653","23979","7985","239","33.39",""
"38","","World of Tanks","338897220","7728600","48509","366","11842","7855","179","43.85",""
"39","","Chess","329690520","2683740","84159","132","6298","7642","62","122.85",""
"40","","Retro","326786340","9645180","28868","375","12186","7575","223","33.88",""
"41","","Super Smash Bros. Ultimate","298971180","5838420","160081","348","13617","6930","135","51.21",""
"42","","I'm Only Sleeping","294600120","5312040","49722","250","5596","6828","123","55.46",""
"43","","VRChat","272061180","6390360","47424","440","16135","6306","148","42.57",""
"44","","Among Us","271978860","5431440","130686","478","40305","6304","125","50.07",""
