"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15271301400","168079260","992439","7645","468778","342559","3770","90.86",""
"2","","Grand Theft Auto V","5816712600","110154180","426230","6649","231641","130478","2470","52.81",""
"3","","World of Warcraft","4502923320","71653740","308544","4857","73006","101007","1607","62.84",""
"4","","League of Legends","4193014800","103506720","232769","5404","189348","94055","2321","40.51",""
"5","","VALORANT","3829293660","166319820","239228","8050","324189","85897","3730","23.02",""
"6","","Call of Duty: Warzone","3078666060","104727660","174886","5334","190975","69059","2349","29.4",""
"7","","Fortnite","2828876820","243595680","1024567","60854","827595","63456","5464","11.61",""
"8","","Overwatch 2","2583618900","95656980","219889","4896","255319","57954","2145","27.01",""
"9","","Escape from Tarkov","2396418660","31022880","533551","5312","40598","53755","695","77.25",""
"10","","Minecraft","2038690980","78516060","323874","4347","288342","45731","1761","25.97",""
"11","","Apex Legends","2025282720","124924740","289575","4733","256165","45430","2802","16.21",""
"12","","Counter-Strike: Global Offensive","1878919860","40920840","280430","2323","105795","42147","917","45.92",""
"13","","Dota 2","1828738020","35119860","146152","1550","47284","41021","787","52.07",""
"14","","Teamfight Tactics","1437996000","17029560","90245","927","38413","32256","382","84.44",""
"15","","FIFA 23","1374484380","37232280","152099","2573","136227","30831","835","36.92",""
"16","","Call of Duty: Modern Warfare II","1332009720","204612600","214332","9047","512988","29879","4589","6.51",""
"17","","Sports","1154659320","5168220","466742","762","12963","25900","115","223.42",""
"18","","Music","1135844520","43965960","90881","1807","54920","25478","986","25.83",""
"19","","Special Events","1060908660","4602300","1887801","8741","17143","23797","103","230.52",""
"20","","Pokémon Scarlet/Violet","1023578460","39065520","78130","2763","57324","22960","876","26.2",""
"21","","Dead by Daylight","1008180600","62922960","56226","2910","103748","22615","1411","16.02",""
"22","","Path of Exile","1005500100","13413240","249260","2230","11203","22554","300","74.96",""
"23","","Dark and Darker","970687860","9252720","151562","1052","23490","21774","207","104.91",""
"24","","Hearthstone","900408960","6584280","137028","558","11968","20197","147","136.75",""
"25","","Genshin Impact","894114600","60923820","89228","4646","95733","20056","1366","14.68",""
"26","","Virtual Casino","804205380","3248340","65898","192","2925","18039","72","247.57",""
"27","","World of Tanks","689098800","8899620","68851","455","12949","15457","199","77.43",""
"28","","Lost Ark","654370020","15581940","152131","842","11883","14678","349","42",""
"29","","Slots","643414080","3783720","94139","251","3764","14432","84","170.05",""
"30","","ASMR","606161160","8339100","30346","315","4858","13597","187","72.69",""
"31","","The Callisto Protocol","522222600","12958260","267668","2598","37504","11714","290","40.3",""
"32","","Ark: Survival Evolved","504627660","13611240","174807","689","28822","11319","305","37.07",""
"33","","Rust","472873680","15190440","45524","914","31429","10607","340","31.13",""
"34","","Rocket League","467518020","39651960","169232","2322","187887","10487","889","11.79",""
"35","","Art","451610940","25384860","41094","868","50501","10130","569","17.79",""
"36","","Elden Ring","426492060","22893240","64162","1570","63298","9566","513","18.63",""
"37","","Project Zomboid","422137620","5397240","71269","298","11943","9469","121","78.21",""
"38","","Sea of Thieves","396348420","12431940","35532","791","29626","8890","278","31.88",""
"39","","Destiny 2","376717560","26770080","60548","2313","49760","8450","600","14.07",""
"40","","PUBG: BATTLEGROUNDS","371361600","24006000","64853","1212","40260","8330","538","15.47",""
"41","","Chess","343877880","2723820","93899","153","8391","7713","61","126.25",""
"42","","Tom Clancy's Rainbow Six Siege","322309020","30859440","34761","1899","108655","7229","692","10.44",""
"43","","I'm Only Sleeping","319579860","8209560","57978","359","7267","7168","184","38.93",""
"44","","Albion Online","313740240","3218760","18135","157","3420","7037","72","97.47",""
