"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15604152120","179391420","887922","9879","645467","387584","4455","86.98",""
"2","","Lost Ark","8758975860","136395660","1273854","12784","196480","217560","3387","64.22",""
"3","","League of Legends","8080866480","152422920","642461","6195","269108","200717","3785","53.02",""
"4","","Grand Theft Auto V","7758815820","115192740","489292","5363","258590","192717","2861","67.36",""
"5","","VALORANT","5345291040","198226500","353603","7202","401078","132769","4923","26.97",""
"6","","Counter-Strike: Global Offensive","4045286520","53163480","995138","2618","150560","100479","1320","76.09",""
"7","","Apex Legends","3921663360","247370400","266182","13296","501098","97408","6144","15.85",""
"8","","Fortnite","3673534020","221443320","380708","10627","801253","91245","5500","16.59",""
"9","","Elden Ring","3550448580","83916060","908307","22969","195401","88187","2084","42.31",""
"10","","Call of Duty: Warzone","2294333760","118456860","167142","5395","172484","56987","2942","19.37",""
"11","","Dota 2","2196004560","38761080","185278","1808","53299","54545","962","56.65",""
"12","","Slots","2107589520","5489700","150343","227","6564","52349","136","383.92",""
"13","","Minecraft","2037258180","104705460","662095","4469","404721","50602","2600","19.46",""
"14","","FIFA 22","1586436720","41033940","211918","2557","145514","39404","1019","38.66",""
"15","","Dying Light 2: Stay Human","1544745720","64330080","404648","8669","131996","38369","1597","24.01",""
"16","","Escape from Tarkov","1458722460","51172800","91447","2097","49104","36232","1271","28.51",""
"17","","Tom Clancy's Rainbow Six Siege","1360467780","32182080","267799","1336","114093","33792","799","42.27",""
"18","","Music","1197582360","50679360","228912","2043","79663","29746","1258","23.63",""
"19","","Dead by Daylight","1185552180","73777560","155860","3006","125429","29447","1832","16.07",""
"20","","Hearthstone","1092322080","8076960","60774","362","14685","27131","200","135.24",""
"21","","Rust","1059026400","18025860","195251","1352","36486","26304","447","58.75",""
"22","","World of Warcraft","1002650520","41964180","132968","3271","50465","24904","1042","23.89",""
"23","","Path of Exile","950718840","15920100","180658","2812","14656","23614","395","59.72",""
"24","","Pokémon Legends: Arceus","903082140","40660440","127011","3997","65518","22431","1009","22.21",""
"25","","Teamfight Tactics","874264920","16012440","64109","943","45460","21715","397","54.6",""
"26","","Rocket League","827115300","40457460","110385","1927","170115","20544","1004","20.44",""
"27","","Sports","821309400","5729640","331437","561","25519","20400","142","143.34",""
"28","","PUBG: BATTLEGROUNDS","680503920","38372580","122777","1670","84791","16902","953","17.73",""
"29","","ASMR","635677860","7423080","38392","254","16156","15789","184","85.64",""
"30","","Genshin Impact","625448700","41968440","614342","3706","100804","15535","1042","14.9",""
"31","","Destiny 2","591317580","45758400","156357","11681","80782","14687","1136","12.92",""
"32","","Horizon Forbidden West","572152980","25034280","223024","4127","46909","14211","621","22.85",""
"33","","Overwatch","550129560","27443400","89068","1115","70914","13664","681","20.05",""
"34","","Art","509533080","31294860","63932","1158","72805","12656","777","16.28",""
"35","","Vampire Survivors","477721680","5710620","67219","340","23729","11865","141","83.65",""
"36","","Sifu","472081080","8918940","170196","944","37354","11725","221","52.93",""
"37","","Yu-Gi-Oh! Master Duel","454938060","14393220","40574","733","43934","11300","357","31.61",""
"38","","Special Events","412490820","2366460","740278","3902","17115","10245","58","174.31",""
"39","","Politics","381709260","1647840","164056","190","5267","9481","40","231.64",""
"40","","Talk Shows & Podcasts","380942340","9839280","79956","522","25915","9462","244","38.72",""
"41","","Chess","380276580","2915460","46915","163","7068","9445","72","130.43",""
"42","","World of Tanks","358686360","8106120","35255","459","14365","8909","201","44.25",""
"43","","Clash Royale","342972540","5807040","103918","269","68032","8518","144","59.06",""
"44","","I'm Only Sleeping","323753220","4968240","61985","305","5383","8041","123","65.16",""
"45","","Halo Infinite","317297280","14182860","120124","1103","51259","7881","352","22.37",""
"46","","Hunt: Showdown","299878380","10303380","74621","768","15471","7448","255","29.1",""
"47","","Total War: Warhammer III","299046780","3801600","73690","959","7907","7427","94","78.66",""
"48","","Dark Souls III","290340600","9969720","68925","554","27083","7211","247","29.12",""
"49","","Final Fantasy XIV Online","283641660","21218280","81301","2350","33004","7045","527","13.37",""
"50","","VRChat","283122360","6200700","128943","471","17502","7032","154","45.66",""
"51","","Virtual Casino","280087020","1277940","86588","77","2126","6956","31","219.17",""
"52","","Poker","266580540","4046520","33426","251","4762","6621","100","65.88",""
"53","","Project Zomboid","265434780","6096660","32094","306","13191","6593","151","43.54",""
"54","","SMITE","250810500","9824040","21942","562","20487","6229","244","25.53",""
"55","","Old School RuneScape","237389100","5970180","15410","278","6494","5896","148","39.76",""
"56","","Retro","235416240","8848800","16328","349","11756","5847","219","26.6",""
"57","","Mario Kart 8 Deluxe","235308840","3281280","241694","242","14148","5844","81","71.71",""
"58","","Magic: The Gathering","230042040","3930000","24038","297","7708","5713","97","58.53",""
"59","","Crypto","224758680","4697880","29568","183","5305","5582","116","47.84",""
"60","","Red Dead Redemption 2","220410660","15164880","35039","721","38354","5474","376","14.53",""
"61","","Internet Cafe Simulator 2","220179300","1072740","137320","94","5361","5468","26","205.25",""
"62","","Sea of Thieves","219898740","15046860","40001","825","39140","5461","373","14.61",""
"63","","Food & Drink","219542400","2096700","245916","105","11187","5453","52","104.71",""
"64","","Call Of Duty: Modern Warfare","210675360","89943660","18809","4147","254630","5232","2234","2.34",""
"65","","DayZ","210105000","10577940","21917","457","20391","5218","262","19.86",""
"66","","Call of Duty: Vanguard","206470800","29039460","32957","1703","82633","5128","721","7.11",""
"67","","Garena Free Fire","206405520","9568140","23771","506","63584","5126","237","21.57",""
"68","","Among Us","203886720","5599860","93519","457","43059","5064","139","36.41",""
"69","","Phasmophobia","203645460","15758880","52422","906","66010","5058","391","12.92",""
