,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
0,2020-04-04,Kuplinov ► Play,13289,2052074,61807.0,634.0,Call of Duty: Warzone
1,2020-04-15,Typical Gamer,12384,1785021,25422.0,530.0,Call of Duty: Warzone
2,2020-04-11,Top Call of Duty Plays,1140,1641930,19207.0,435.0,Call of Duty: Warzone
3,2020-04-24,Inkslasher,618,1472019,27567.0,2433.0,Call of Duty: Warzone
4,2020-04-19,jackfrags,886,1424191,49126.0,2364.0,Call of Duty: Warzone
5,2020-04-26,jackfrags,9620,1402307,14933.0,494.0,Call of Duty: Warzone
6,2020-04-03,SMii7Y,1098,1182756,51973.0,1431.0,Call of Duty: Warzone
7,2020-04-29,jackfrags,722,1138416,47453.0,1929.0,Call of Duty: Warzone
8,2020-04-30,jackfrags,1034,1127639,39952.0,1396.0,Call of Duty: Warzone
9,2020-04-15,jackfrags,736,1077013,38478.0,7451.0,Call of Duty: Warzone
10,2020-04-14,BasicallyIDoWrk,914,940634,28585.0,636.0,Call of Duty: Warzone
11,2020-04-23,Soki,815,830475,32314.0,974.0,Call of Duty: Warzone
12,2020-04-20,jackfrags,9607,742945,10521.0,424.0,Call of Duty: Warzone
13,2020-04-01,BasicallyIDoWrk,772,740042,22044.0,293.0,Call of Duty: Warzone
14,2020-04-14,Call of Duty,37,736199,23175.0,1577.0,Call of Duty: Warzone
15,2020-04-06,jackfrags,685,719523,23808.0,952.0,Call of Duty: Warzone
16,2020-04-02,WhosImmortal,735,639042,14176.0,922.0,Call of Duty: Warzone
17,2020-04-30,Typical Gamer,11781,619157,13635.0,325.0,Call of Duty: Warzone
18,2020-04-29,MrDalekJD,601,592148,8517.0,1300.0,Call of Duty: Warzone
19,2020-04-30,Top Call of Duty Plays,1257,586957,7258.0,282.0,Call of Duty: Warzone
20,2020-04-08,Born2Kill,1004,576646,46688.0,1589.0,Call of Duty: Warzone
21,2020-04-28,NVIDIA GeForce,100,536862,4332.0,875.0,Call of Duty: Warzone
22,2020-04-16,Top Call of Duty Plays,1056,490126,6232.0,464.0,Call of Duty: Warzone
23,2020-04-24,Kesto,364,434884,9622.0,962.0,Call of Duty: Warzone
24,2020-04-19,Soki,1184,434574,13493.0,619.0,Call of Duty: Warzone
25,2020-04-29,FOG of GAMING,405,410532,6128.0,460.0,Call of Duty: Warzone
26,2020-04-22,HusKerrs,623,408030,12126.0,630.0,Call of Duty: Warzone
27,2020-04-12,FOG of GAMING,552,359568,4533.0,663.0,Call of Duty: Warzone
28,2020-04-29,Soki,884,352877,26263.0,1093.0,Call of Duty: Warzone
29,2020-04-15,WhosImmortal,692,340329,6548.0,685.0,Call of Duty: Warzone
30,2020-04-13,Espresso,736,321435,4954.0,672.0,Call of Duty: Warzone
31,2020-04-03,Kesto,446,316782,9130.0,529.0,Call of Duty: Warzone
32,2020-04-22,Kesto,370,315736,10739.0,756.0,Call of Duty: Warzone
33,2020-04-06,WhosImmortal,772,246229,3944.0,454.0,Call of Duty: Warzone
34,2020-04-26,WhosImmortal,648,236791,4801.0,439.0,Call of Duty: Warzone
35,2020-04-28,GameSprout,656,222817,6700.0,162.0,Call of Duty: Warzone
36,2020-04-04,Mr. Fruit,1061,192545,7145.0,284.0,Call of Duty: Warzone
37,2020-04-11,OXiTO,404,184136,2654.0,355.0,Call of Duty: Warzone
38,2020-04-09,Neebs Gaming,2191,180707,6678.0,872.0,Call of Duty: Warzone
39,2020-04-08,Mr Mo,204,178034,2169.0,313.0,Call of Duty: Warzone
40,2020-04-02,OXiTO,272,169133,2843.0,151.0,Call of Duty: Warzone
41,2020-04-15,dkdynamite,822,134163,1562.0,212.0,Call of Duty: Warzone
42,2020-04-17,Nemsk,602,127778,5116.0,579.0,Call of Duty: Warzone
43,2020-04-06,Tomographic,1060,124342,3403.0,170.0,Call of Duty: Warzone
44,2020-04-23,Mr. Fruit,1051,123546,6093.0,234.0,Call of Duty: Warzone
45,2020-04-14,Herdz,764,121717,4888.0,202.0,Call of Duty: Warzone
46,2020-04-26,kevinsmak,229,121364,1278.0,57.0,Call of Duty: Warzone
47,2020-04-07,Proto HW & Tec,1013,119830,5573.0,563.0,Call of Duty: Warzone
48,2020-04-30,Stodeh,679,99328,3515.0,185.0,Call of Duty: Warzone
49,2020-04-01,Max Hansen,263,96983,1278.0,158.0,Call of Duty: Warzone
50,2020-04-06,wolfgang,258,96780,693.0,159.0,Call of Duty: Warzone
51,2020-04-23,GameGangsta,690,90764,570.0,194.0,Call of Duty: Warzone
52,2020-04-24,El Triax,113,87203,980.0,207.0,Call of Duty: Warzone
53,2020-04-01,wolfgang,262,86127,999.0,222.0,Call of Duty: Warzone
54,2020-04-29,NVIDIA GeForce,124,74253,1453.0,423.0,Call of Duty: Warzone
55,2020-04-20,Arenita,399,74982,1137.0,194.0,Call of Duty: Warzone
56,2020-04-20,ZellenDos - ZellenDust en version extendida (GAMEPLAYS),1498,73050,7127.0,144.0,Call of Duty: Warzone
57,2020-04-04,Max Holloway,1499,72161,1681.0,100.0,Call of Duty: Warzone
58,2020-04-30,Kesto,362,68907,3112.0,361.0,Call of Duty: Warzone
59,2020-04-17,Vandal,425,68132,3098.0,292.0,Call of Duty: Warzone
60,2020-04-08,Joe Iz Gaming,82,64220,379.0,56.0,Call of Duty: Warzone
61,2020-04-10,Kalmarn,206,62760,442.0,185.0,Call of Duty: Warzone
62,2020-04-08,TechFixIT,313,58772,472.0,114.0,Call of Duty: Warzone
63,2020-04-28,wolfgang,282,56792,625.0,229.0,Call of Duty: Warzone
64,2020-04-29,Tech Imperium,694,53330,441.0,162.0,Call of Duty: Warzone
65,2020-04-08,zamber607,539,53748,592.0,35.0,Call of Duty: Warzone
66,2020-04-29,Tech of Tomorrow,541,51758,1568.0,142.0,Call of Duty: Warzone
67,2020-04-30,Makieen11,241,49495,832.0,79.0,Call of Duty: Warzone
68,2020-04-06,IGN,418,40621,667.0,91.0,Call of Duty: Warzone
