,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
0,2017-08-10,VEGETTA777,3559.0,3931182,74480.0,2817.0,Fortnite
1,2017-08-03,Rooster Teeth,724.0,1853814,20061.0,1445.0,Fortnite
2,2017-08-17,Bauz_420,116.0,884031,5346.0,591.0,Fortnite
3,2017-08-02,Gona89,1272.0,839105,17423.0,833.0,Fortnite
4,2017-08-02,xFaRgAnx YT,2231.0,506313,22700.0,429.0,Fortnite
5,2017-08-21,Smosh Games,1290.0,503195,7692.0,535.0,Fortnite
6,2017-08-16,Guzz Productions,732.0,449866,16299.0,556.0,Fortnite
7,2017-08-03,Plech,660.0,350509,6245.0,130.0,Fortnite
8,2017-08-24,Fortnite,55.0,313938,5208.0,348.0,Fortnite
9,2017-08-11,Pigginatti,788.0,243969,1529.0,147.0,Fortnite
10,2017-08-16,Gona89,1280.0,242831,6563.0,280.0,Fortnite
11,2017-08-31,Massive Trigger Gaming,44.0,236484,1186.0,102.0,Fortnite
12,2017-08-12,Ludik Play,586.0,193507,4723.0,263.0,Fortnite
13,2017-08-09,The Triple S League,68.0,190957,1419.0,64.0,Fortnite
14,2017-08-05,TG Smooth,179.0,182317,1355.0,112.0,Fortnite
15,2017-08-02,PlayStation,1423.0,180160,1407.0,191.0,Fortnite
16,2017-08-11,Fortnite,429.0,174124,1992.0,456.0,Fortnite
17,2017-08-08,xFaRgAnx YT,1946.0,163917,12571.0,253.0,Fortnite
18,2017-08-16,TITAN GAMERS,611.0,157694,2401.0,262.0,Fortnite
19,2017-08-13,TheGamesEntertainer,338.0,148757,784.0,46.0,Fortnite
20,2017-08-09,Gona89,1188.0,143982,11059.0,300.0,Fortnite
21,2017-08-07,Morax,1664.0,142057,866.0,242.0,Fortnite
22,2017-08-20,HyQue,547.0,140491,4062.0,174.0,Fortnite
23,2017-08-16,AngryJoeShow,1249.0,131860,154241.188002758,7665.365165876778,Fortnite
24,2017-08-14,Gona89,1247.0,124955,5253.0,281.0,Fortnite
25,2017-08-04,Gona89,1214.0,115162,5144.0,289.0,Fortnite
26,2017-08-09,Nipplez Gaming,1260.0,106710,636.0,186.0,Fortnite
27,2017-08-18,epic next gen gaming,119.0,93208,625.0,84.0,Fortnite
28,2017-08-04,YouAlwaysWin,7811.0,91582,2228.0,99.0,Fortnite
29,2017-08-23,HyQue,617.0,88702,1539.0,53.0,Fortnite
30,2017-08-24,PlayStation,65.0,88604,1272.0,111.0,Fortnite
31,2017-08-06,PipePunk,1187.0,87361,3966.0,183.0,Fortnite
32,2017-08-22,RevenantL0L,2142.0,85572,2152.0,102.0,Fortnite
33,2017-08-04,BpugGames,179.0,84910,462.0,40.0,Fortnite
34,2017-08-08,RevenantL0L,2583.0,84121,2352.0,128.0,Fortnite
35,2017-08-09,ReaayZ,112.0,82597,383.0,39.0,Fortnite
36,2017-08-10,Consortium Gaming,477.0,79904,559.0,97.0,Fortnite
37,2017-08-22,Angory Tom,1204.0,73805,2130.0,93.0,Fortnite
38,2017-08-13,El salón de Capo (ilcapokan),300.0,66157,1025.0,48.0,Fortnite
39,2017-08-31,Top Funny Moments,1996.0,63631,486.0,35.0,Fortnite
40,2017-08-04,Harmonium,27.0,60558,190.0,25.0,Fortnite
41,2017-08-10,Makina,2015.0,59045,1477.0,109.0,Fortnite
42,2017-08-02,ABRELO GAME,1603.0,56648,789.0,7665.365165876778,Fortnite
43,2017-08-09,KNekroGamer,2815.0,55374,1953.0,110.0,Fortnite
44,2017-08-08,Asturino,2191.0,55688,418.0,22.0,Fortnite
45,2017-08-03,Bubba213,132.0,53065,745.0,79.0,Fortnite
46,2017-08-02,KNekroGamer,2597.0,52667,2072.0,129.0,Fortnite
47,2017-10-01,wowdudereally,114.0,13480444,243144.0,5695.0,Fortnite
48,2017-09-12,IGN,1316.0,7210420,43733.0,4401.0,Fortnite
49,2017-09-30,VEGETTA777,1290.0,5353423,127302.0,5218.0,Fortnite
50,2017-09-26,Verox Pivigames,678.0,4534022,58831.0,15295.0,Fortnite
51,2017-09-25,Typical Gamer,6232.0,3641893,110211.0,11200.0,Fortnite
52,2017-09-24,TheRussianBadger,723.0,3299665,62602.0,6161.0,Fortnite
53,2017-09-29,H2ODelirious,1304.0,2873544,76598.0,5029.0,Fortnite
54,2017-09-29,Addoam,231.0,2822195,48168.0,6979.0,Fortnite
55,2017-09-20,LOLiTO FDEZ,1460.0,2774017,142403.0,12973.0,Fortnite
56,2017-09-30,dakotaz,1248.0,2470962,58787.0,5563.0,Fortnite
57,2017-09-22,PlayStation,91.0,2482398,97877.0,6824.0,Fortnite
58,2017-09-15,dakotaz,1482.0,2061955,60318.0,12516.0,Fortnite
59,2017-09-28,Frankie73,289.0,1964690,14908.0,1423.0,Fortnite
60,2017-09-30,H2ODelirious,1186.0,1948498,42780.0,1826.0,Fortnite
61,2017-09-12,Best Twitch Moments,852.0,1742324,12740.0,1732.0,Fortnite
62,2017-09-28,JRECK,214.0,1551630,12571.0,1334.0,Fortnite
63,2017-09-29,CaRtOoNz,1421.0,757060,18349.0,642.0,Fortnite
64,2017-09-30,LOLiTO FDEZ,1292.0,741221,20608.0,960.0,Fortnite
65,2017-09-27,Mac,1207.0,733092,29166.0,1874.0,Fortnite
66,2017-09-27,KingG2 ORIGINAL,195.0,669413,8993.0,920.0,Fortnite
67,2017-09-30,Teo,806.0,663594,18232.0,893.0,Fortnite
68,2017-09-29,Slogo,1083.0,584462,12820.0,795.0,Fortnite
69,2017-09-27,Hollow,795.0,553823,18665.0,3785.0,Fortnite
70,2017-09-28,Sofurk,615.0,550454,9369.0,1398.0,Fortnite
71,2017-09-28,Eurogamer,736.0,516734,5857.0,1943.0,Fortnite
72,2017-09-12,PlayStation,100.0,509263,4080.0,441.0,Fortnite
73,2017-09-26,Aculite,1254.0,504011,8822.0,834.0,Fortnite
74,2017-09-30,Ohmwrecker / Maskedgamer,1561.0,493311,16418.0,1287.0,Fortnite
75,2017-09-26,Xbox,83.0,492023,5058.0,625.0,Fortnite
76,2017-09-16,rhinoCRUNCH,1284.0,431363,8116.0,891.0,Fortnite
77,2017-09-30,CaRtOoNz,1378.0,426265,12416.0,461.0,Fortnite
78,2017-09-25,Robbaz,820.0,392859,12768.0,895.0,Fortnite
79,2017-09-28,Hyenaah,102.0,380891,3009.0,500.0,Fortnite
80,2017-09-28,LOLiTO FDEZ,1330.0,376505,10620.0,652.0,Fortnite
