,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
0,2013-10-12,IGN,604,35087341,821861.0,54953.0,Grand Theft Auto V
1,2013-10-21,REsidentVille,623,18606402,225236.0,14887.0,Grand Theft Auto V
2,2013-10-19,jacksepticeye,745,7842073,90654.0,7490.0,Grand Theft Auto V
3,2013-10-10,jacksepticeye,1239,6030969,57100.0,5695.0,Grand Theft Auto V
4,2013-10-14,jacksepticeye,1084,6030030,49164.0,4200.0,Grand Theft Auto V
5,2013-10-21,GameRevolution,373,4700010,25878.0,1203.0,Grand Theft Auto V
6,2013-10-07,GTA Series Videos,3097,4277875,57577.0,4267.0,Grand Theft Auto V
7,2013-10-03,TmarTn2,168,4120691,54671.0,3674.0,Grand Theft Auto V
8,2013-10-14,DefendTheHouse,180,4062581,26789.0,1950.0,Grand Theft Auto V
9,2013-10-21,jacksepticeye,1179,3707600,38740.0,4255.0,Grand Theft Auto V
10,2013-10-16,jacksepticeye,574,3527663,36276.0,3467.0,Grand Theft Auto V
11,2013-10-08,DashieXP,215,3234317,117458.0,4037.0,Grand Theft Auto V
12,2013-10-26,jacksepticeye,1109,3096326,31063.0,2617.0,Grand Theft Auto V
13,2013-10-07,DefendTheHouse,191,2203970,19169.0,1158.0,Grand Theft Auto V
14,2013-10-08,Unknown Player,149,2174892,12941.0,1295.0,Grand Theft Auto V
15,2013-10-27,jacksepticeye,596,2118889,16921.0,1138.0,Grand Theft Auto V
16,2013-10-01,Rooster Teeth,260,1536180,24917.0,3706.0,Grand Theft Auto V
17,2013-10-25,Insanegaz,420,848812,4447.0,289.0,Grand Theft Auto V
18,2013-10-02,Video Games Source GTA V,113,827200,10133.0,474.0,Grand Theft Auto V
19,2013-10-21,miracleofsound,264,779880,9048.0,700.0,Grand Theft Auto V
20,2013-10-10,DashieXP2,185,750852,16275.0,350.0,Grand Theft Auto V
21,2013-10-02,NamelessDreadx37x,393,739420,5447.0,698.0,Grand Theft Auto V
22,2013-10-20,tsnhd,281,662949,6420.0,674.0,Grand Theft Auto V
23,2013-10-01,Yayixd,430,627736,7530.0,545.0,Grand Theft Auto V
24,2013-10-14,Anu-B,2446,551135,8319.0,1192.0,Grand Theft Auto V
25,2013-10-22,Doctor Typ0,121,445278,1351.0,83.0,Grand Theft Auto V
26,2013-10-04,TobyGames,967,388138,5343.0,1707.0,Grand Theft Auto V
27,2013-10-05,GSHDFTW,64,392675,2830.0,152.0,Grand Theft Auto V
28,2013-10-05,Video Games Source GTA V,189,388859,3737.0,606.0,Grand Theft Auto V
29,2013-10-05,Video Games Source GTA V,116,381149,6241.0,470.0,Grand Theft Auto V
30,2013-10-20,TobyGames,751,370005,4274.0,634.0,Grand Theft Auto V
