,unnamed: 0.1,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
0,0,2012-01-12,League of Legends,427.0,4142183,23974.0,7547.0,League of Legends
1,1,2012-01-31,League of Legends,378.0,3998748,23801.0,9169.0,League of Legends
2,2,2012-01-13,Taylor Davis,182.0,2497963,44739.0,4943.0,League of Legends
3,3,2012-01-24,League of Legends,374.0,2108988,12684.0,3379.0,League of Legends
4,4,2012-01-23,ESL Archives,10226.0,1879156,6789.0,2551.0,League of Legends
5,5,2012-01-29,videogamedunkey,162.0,1862445,15749.0,2380.0,League of Legends
6,6,2012-01-13,League of Legends,403.0,1815832,6423.0,5176.0,League of Legends
7,7,2012-01-14,League of Legends,304.0,1779176,7650.0,6254.0,League of Legends
8,8,2012-01-08,Protatomonster,332.0,1218039,4229.0,1684.0,League of Legends
9,9,2012-01-25,League of Legends,405.0,1171198,4853.0,4140.0,League of Legends
10,10,2012-01-09,videogamedunkey,137.0,1103729,6152.0,580.0,League of Legends
11,11,2012-01-27,Ballisto FPV,123.0,1077201,19763.0,1844.0,League of Legends
12,12,2012-01-20,videogamedunkey,222.0,944243,5111.0,843.0,League of Legends
13,13,2012-01-04,Protatomonster,223.0,922316,3215.0,912.0,League of Legends
14,14,2012-01-29,Protatomonster,230.0,905380,4824.0,1035.0,League of Legends
15,15,2012-01-31,CodyPOV,151.0,804654,3775.0,3076.0,League of Legends
16,16,2012-01-31,Ciderhelm,573.0,690767,3532.0,949.0,League of Legends
17,17,2012-01-22,Protatomonster,203.0,677993,5418.0,748.0,League of Legends
18,18,2012-01-21,Lucem Ferre,360.0,630894,1201.0,492.0,League of Legends
19,19,2012-01-04,NeiLalwaysLeeT,22.0,609328,1017.0,217.0,League of Legends
20,20,2012-01-15,Sir Vown,623.0,607432,2008.0,1372.0,League of Legends
21,21,2012-01-16,Protatomonster,222.0,599824,3840.0,924.0,League of Legends
22,22,2012-01-23,NeiLalwaysLeeT,31.0,564358,1453.0,223.0,League of Legends
23,23,2012-01-19,Protatomonster,227.0,559611,2520.0,717.0,League of Legends
24,24,2012-01-21,Lucem Ferre,326.0,403991,1167.0,198.0,League of Legends
25,25,2012-01-21,Lucem Ferre,359.0,403304,1119.0,521.0,League of Legends
26,26,2012-01-21,ESL Archives,7800.0,352631,873.0,445.0,League of Legends
27,27,2012-01-26,Ciderhelm,434.0,339491,1696.0,526.0,League of Legends
28,28,2012-01-13,Skyshock,612.0,333971,4960.0,596.0,League of Legends
29,29,2012-01-01,diastole,603.0,307816,1642.0,427.0,League of Legends
30,30,2012-01-02,FlareHazard,318.0,275512,450.0,120.0,League of Legends
31,31,2012-01-26,TheAngryHoneyBadger,1026.0,259278,1449.0,274.0,League of Legends
32,32,2012-01-20,ESL Archives,3726.0,247069,621.0,248.0,League of Legends
33,33,2012-01-30,Colby CheeZe,3401.0,241021,1580.0,525.0,League of Legends
34,34,2012-01-20,Colby CheeZe,2323.0,227099,902.0,509.0,League of Legends
35,35,2012-01-02,FlareHazard,325.0,226866,437.0,64.0,League of Legends
36,36,2012-01-10,DahJezus,202.0,214844,2091.0,1227.0,League of Legends
37,37,2012-01-21,FlareHazard,359.0,205407,364.0,140.0,League of Legends
38,38,2012-01-20,Skyshock,417.0,193152,2261.0,291.0,League of Legends
39,39,2012-01-20,ESL Archives,4555.0,191434,418.0,213.0,League of Legends
40,40,2012-01-19,Colby CheeZe,1085.0,186521,1343.0,445.0,League of Legends
41,41,2012-01-06,Skyshock,408.0,176139,2234.0,420.0,League of Legends
42,42,2012-01-20,ESL Archives,4230.0,175219,479.0,210.0,League of Legends
43,43,2012-01-24,Raik Rudat,2912.0,161833,331.0,90.0,League of Legends
44,44,2012-01-31,CodyPOV,31.0,149657,886.0,125.0,League of Legends
45,45,2012-01-19,ESL Archives,3950.0,146578,319.0,125.0,League of Legends
46,46,2012-01-17,stonewall008,140.0,139250,329.0,182.0,League of Legends
47,47,2012-01-28,IGN,77.0,137966,600.0,270.0,League of Legends
48,48,2012-01-12,TheAngryHoneyBadger,1303.0,133871,855.0,120.0,League of Legends
49,49,2012-01-02,Colby CheeZe,2095.0,130359,295.0,144.0,League of Legends
50,50,2012-01-10,patricx000,72.0,123064,1012.0,132.0,League of Legends
51,51,2012-01-09,wowcrendor,76.0,115308,1818.0,325.0,League of Legends
52,52,2012-01-10,TGN,130.0,114054,376.0,85.0,League of Legends
53,53,2012-01-22,VoztokTV,13.0,108699,542.0,84.0,League of Legends
54,54,2012-01-20,patricx000,359.0,108170,384.0,141.0,League of Legends
55,55,2012-01-05,stonewall008,401.0,101688,389.0,156.0,League of Legends
56,56,2012-01-13,Ciderhelm,92.0,98517,179.0,59.0,League of Legends
57,57,2012-01-19,ESL Archives,4667.0,95714,187.0,79.0,League of Legends
58,58,2012-01-18,Beepboop,48.0,88375,197.0,66.0,League of Legends
59,59,2012-01-21,Colby CheeZe,2565.0,88341,596.0,284.0,League of Legends
60,60,2012-01-04,Sips,533.0,82800,1343.0,369.0,League of Legends
61,61,2012-01-10,WhaTheGame,95.0,76502,1470.0,1181.6572801430327,League of Legends
62,62,2012-01-10,TGN,128.0,74605,268.0,83.0,League of Legends
63,63,2012-01-10,TGN,131.0,74524,252.0,111.0,League of Legends
64,64,2012-01-17,Sips,167.0,73359,839.0,186.0,League of Legends
65,65,2012-01-10,Chiia Saphir,574.0,66992,636.0,186.0,League of Legends
66,66,2012-01-05,Austin,92.0,66137,95.0,51.0,League of Legends
67,67,2012-01-24,Raik Rudat,2432.0,65795,141.0,60.0,League of Legends
68,68,2012-01-11,Ciderhelm,139.0,63459,195.0,98.0,League of Legends
69,69,2012-01-20,Sp4zie,802.0,59187,941.0,155.0,League of Legends
70,70,2012-01-11,YeouschAlliance,687.0,57575,474.0,53.0,League of Legends
71,71,2012-01-12,Ciderhelm,1133.0,54907,210.0,82.0,League of Legends
72,72,2012-01-05,NETRO,1176.0,53830,353.0,204.0,League of Legends
73,73,2012-02-29,League of Legends,372.0,6564633,39035.0,13345.0,League of Legends
74,74,2012-02-14,League of Legends,426.0,4911819,24389.0,8599.0,League of Legends
75,75,2012-02-27,videogamedunkey,129.0,4139988,31780.0,5066.0,League of Legends
76,76,2012-02-25,League of Legends,282.0,2221473,9873.0,5191.0,League of Legends
77,77,2012-02-11,League of Legends,285.0,2188543,10890.0,13234.0,League of Legends
78,78,2012-02-16,videogamedunkey,151.0,1921780,14099.0,1499.0,League of Legends
79,79,2012-02-09,League of Legends,403.0,1401814,6318.0,4511.0,League of Legends
80,80,2012-02-28,League of Legends,403.0,1199449,7884.0,3061.0,League of Legends
81,81,2012-02-23,SkinSpotlights,100.0,916873,1733.0,535.0,League of Legends
82,82,2012-02-02,Protatomonster,211.0,915583,3283.0,740.0,League of Legends
83,83,2012-02-24,SkinSpotlights,107.0,905985,1910.0,713.0,League of Legends
84,84,2012-03-01,Protatomonster,220.0,895429,3306.0,678.0,League of Legends
85,85,2012-02-23,SkinSpotlights,119.0,887566,1624.0,570.0,League of Legends
86,86,2012-02-06,NeiLalwaysLeeT,86.0,861353,5738.0,854.0,League of Legends
87,87,2012-02-11,Protatomonster,215.0,806294,3451.0,819.0,League of Legends
88,88,2012-02-24,SkinSpotlights,99.0,726977,1500.0,701.0,League of Legends
89,89,2012-02-29,SkinSpotlights,104.0,641445,972.0,319.0,League of Legends
90,90,2012-02-24,SkinSpotlights,93.0,631809,910.0,230.0,League of Legends
91,91,2012-02-23,SkinSpotlights,79.0,614060,821.0,156.0,League of Legends
92,92,2012-02-08,NeiLalwaysLeeT,12.0,613384,1455.0,409.0,League of Legends
93,93,2012-02-23,SkinSpotlights,99.0,593691,1002.0,211.0,League of Legends
94,94,2012-02-24,SkinSpotlights,90.0,583170,863.0,186.0,League of Legends
95,95,2012-02-24,SkinSpotlights,89.0,581104,799.0,211.0,League of Legends
96,96,2012-02-24,SkinSpotlights,85.0,566824,1077.0,404.0,League of Legends
97,97,2012-02-06,Ciderhelm,764.0,557889,3128.0,675.0,League of Legends
98,98,2012-02-23,SkinSpotlights,96.0,532854,1092.0,361.0,League of Legends
99,99,2012-02-25,kymeshu,811.0,515588,2142.0,615.0,League of Legends
100,100,2012-02-25,SkinSpotlights,92.0,503097,814.0,191.0,League of Legends
101,101,2012-02-24,SkinSpotlights,105.0,499725,655.0,96.0,League of Legends
102,102,2012-02-23,SkinSpotlights,84.0,471827,625.0,202.0,League of Legends
103,103,2012-02-06,PentaCheese,361.0,468286,2597.0,890.0,League of Legends
104,104,2012-02-24,SkinSpotlights,105.0,439177,587.0,136.0,League of Legends
105,105,2012-02-23,SkinSpotlights,136.0,436265,824.0,155.0,League of Legends
106,106,2012-02-13,Rickard Edvinsson,88.0,423142,1380.0,422.0,League of Legends
107,107,2012-02-25,SkinSpotlights,97.0,418864,619.0,154.0,League of Legends
108,108,2012-02-26,SkinSpotlights,80.0,407614,480.0,375.0,League of Legends
109,109,2012-02-24,SkinSpotlights,107.0,399544,521.0,103.0,League of Legends
110,110,2012-02-23,SkinSpotlights,98.0,389048,622.0,95.0,League of Legends
111,111,2012-02-27,SkinSpotlights,80.0,348668,475.0,177.0,League of Legends
112,112,2012-02-23,SkinSpotlights,118.0,347954,649.0,84.0,League of Legends
113,113,2012-02-24,SkinSpotlights,88.0,343520,503.0,156.0,League of Legends
114,114,2012-02-23,SkinSpotlights,91.0,342052,493.0,166.0,League of Legends
115,115,2012-02-26,SkinSpotlights,73.0,335355,423.0,335.0,League of Legends
116,116,2012-02-24,SkinSpotlights,80.0,334435,672.0,109.0,League of Legends
117,117,2012-02-24,SkinSpotlights,83.0,332245,490.0,142.0,League of Legends
118,118,2012-02-27,SkinSpotlights,78.0,330132,403.0,143.0,League of Legends
119,119,2012-02-27,NeiLalwaysLeeT,30.0,316305,852.0,115.0,League of Legends
120,120,2012-02-02,xChinNin,373.0,302929,2001.0,1181.6572801430327,League of Legends
121,121,2012-02-24,SkinSpotlights,99.0,298021,527.0,492.0,League of Legends
122,122,2012-02-24,SkinSpotlights,110.0,296165,536.0,97.0,League of Legends
123,123,2012-02-28,SkinSpotlights,111.0,293975,457.0,155.0,League of Legends
124,124,2012-02-28,SkinSpotlights,113.0,290907,501.0,132.0,League of Legends
125,125,2012-02-29,SkinSpotlights,92.0,282881,435.0,129.0,League of Legends
